Year,Age at time of death,Sex,Causes of death,Value
2015,5 to 9 years,Females,Chronic lower respiratory diseases,0.2
2015,10 to 14 years,Both sexes,Malignant neoplasms,2.4
2015,10 to 14 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,10 to 14 years,Both sexes,Diabetes mellitus,0.1
2015,10 to 14 years,Both sexes,Diseases of heart,0.2
2015,10 to 14 years,Both sexes,Influenza and pneumonia,0.2
2015,10 to 14 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2015,10 to 14 years,Both sexes,Chronic lower respiratory diseases,0.3
2015,10 to 14 years,Males,Malignant neoplasms,2.4
2015,10 to 14 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.0
2015,10 to 14 years,Males,Diabetes mellitus,0.1
2015,10 to 14 years,Males,Diseases of heart,0.2
2015,10 to 14 years,Males,Influenza and pneumonia,0.2
2015,10 to 14 years,Males,Acute bronchitis and bronchiolitis,0.0
2015,10 to 14 years,Males,Chronic lower respiratory diseases,0.3
2015,10 to 14 years,Females,Malignant neoplasms,2.4
2015,10 to 14 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2015,10 to 14 years,Females,Diabetes mellitus,0.0
2015,10 to 14 years,Females,Diseases of heart,0.1
2015,10 to 14 years,Females,Influenza and pneumonia,0.1
2015,10 to 14 years,Females,Acute bronchitis and bronchiolitis,0.0
2015,10 to 14 years,Females,Chronic lower respiratory diseases,0.2
2015,15 to 24,Both sexes,Malignant neoplasms,3.3
2015,15 to 24,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,15 to 24,Both sexes,Diabetes mellitus,0.2
2015,15 to 24,Both sexes,Diseases of heart,0.9
2015,15 to 24,Both sexes,Influenza and pneumonia,0.3
2015,15 to 24,Both sexes,Acute bronchitis and bronchiolitis,0.0
2015,15 to 24,Both sexes,Chronic lower respiratory diseases,0.1
2015,15 to 24,Males,Malignant neoplasms,4.1
2015,15 to 24,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,15 to 24,Males,Diabetes mellitus,0.3
2015,15 to 24,Males,Diseases of heart,1.1
2015,15 to 24,Males,Influenza and pneumonia,0.5
2015,15 to 24,Males,Acute bronchitis and bronchiolitis,0.0
2015,15 to 24,Males,Chronic lower respiratory diseases,0.1
2015,15 to 24,Females,Malignant neoplasms,2.5
2015,15 to 24,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.0
2015,15 to 24,Females,Diabetes mellitus,0.1
2015,15 to 24,Females,Diseases of heart,0.8
2015,15 to 24,Females,Influenza and pneumonia,0.1
2015,15 to 24,Females,Acute bronchitis and bronchiolitis,0.0
2015,15 to 24,Females,Chronic lower respiratory diseases,0.2
2015,15 to 19 years,Both sexes,Malignant neoplasms,2.8
2015,15 to 19 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,15 to 19 years,Both sexes,Diabetes mellitus,0.1
2015,15 to 19 years,Both sexes,Diseases of heart,0.4
2015,15 to 19 years,Both sexes,Influenza and pneumonia,0.3
2015,15 to 19 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2015,15 to 19 years,Both sexes,Chronic lower respiratory diseases,0.1
2015,15 to 19 years,Males,Malignant neoplasms,3.2
2015,15 to 19 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,15 to 19 years,Males,Diabetes mellitus,0.2
2015,15 to 19 years,Males,Diseases of heart,0.3
2015,15 to 19 years,Males,Influenza and pneumonia,0.6
2015,15 to 19 years,Males,Acute bronchitis and bronchiolitis,0.0
2015,15 to 19 years,Males,Chronic lower respiratory diseases,0.0
2015,15 to 19 years,Females,Malignant neoplasms,2.4
2015,15 to 19 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,15 to 19 years,Females,Diabetes mellitus,0.1
2015,15 to 19 years,Females,Diseases of heart,0.5
2015,15 to 19 years,Females,Influenza and pneumonia,0.1
2015,15 to 19 years,Females,Acute bronchitis and bronchiolitis,0.0
2015,15 to 19 years,Females,Chronic lower respiratory diseases,0.3
2015,20 to 24 years,Both sexes,Malignant neoplasms,3.7
2015,20 to 24 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,20 to 24 years,Both sexes,Diabetes mellitus,0.3
2015,20 to 24 years,Both sexes,Diseases of heart,1.4
2015,20 to 24 years,Both sexes,Influenza and pneumonia,0.3
2015,20 to 24 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2015,20 to 24 years,Both sexes,Chronic lower respiratory diseases,0.1
2015,20 to 24 years,Males,Malignant neoplasms,4.8
2015,20 to 24 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2015,20 to 24 years,Males,Diabetes mellitus,0.4
2015,20 to 24 years,Males,Diseases of heart,1.7
2015,20 to 24 years,Males,Influenza and pneumonia,0.4
2015,20 to 24 years,Males,Acute bronchitis and bronchiolitis,0.0
2015,20 to 24 years,Males,Chronic lower respiratory diseases,0.2
2015,20 to 24 years,Females,Malignant neoplasms,2.6
2015,20 to 24 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.0
2015,20 to 24 years,Females,Diabetes mellitus,0.2
2015,20 to 24 years,Females,Diseases of heart,1.1
2015,20 to 24 years,Females,Influenza and pneumonia,0.2
2015,20 to 24 years,Females,Acute bronchitis and bronchiolitis,0.0
2015,20 to 24 years,Females,Chronic lower respiratory diseases,0.1
2015,25 to 34 years,Both sexes,Malignant neoplasms,8.2
2015,25 to 34 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2015,25 to 34 years,Both sexes,Diabetes mellitus,1.0
2015,25 to 34 years,Both sexes,Diseases of heart,3.0
2015,25 to 34 years,Both sexes,Influenza and pneumonia,0.4
2015,25 to 34 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2015,25 to 34 years,Both sexes,Chronic lower respiratory diseases,0.2
2015,25 to 34 years,Males,Malignant neoplasms,7.4
2015,25 to 34 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2015,25 to 34 years,Males,Diabetes mellitus,1.4
2015,25 to 34 years,Males,Diseases of heart,3.9
2015,25 to 34 years,Males,Influenza and pneumonia,0.4
2015,25 to 34 years,Males,Acute bronchitis and bronchiolitis,0.0
2015,25 to 34 years,Males,Chronic lower respiratory diseases,0.2
2015,25 to 34 years,Females,Malignant neoplasms,9.0
2015,25 to 34 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,25 to 34 years,Females,Diabetes mellitus,0.7
2015,25 to 34 years,Females,Diseases of heart,2.1
2015,25 to 34 years,Females,Influenza and pneumonia,0.3
2015,25 to 34 years,Females,Acute bronchitis and bronchiolitis,0.0
2015,25 to 34 years,Females,Chronic lower respiratory diseases,0.2
2015,25 to 29 years,Both sexes,Malignant neoplasms,5.4
2015,25 to 29 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2015,25 to 29 years,Both sexes,Diabetes mellitus,1.3
2015,25 to 29 years,Both sexes,Diseases of heart,2.5
2015,25 to 29 years,Both sexes,Influenza and pneumonia,0.2
2015,25 to 29 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2015,25 to 29 years,Both sexes,Chronic lower respiratory diseases,0.3
2015,25 to 29 years,Males,Malignant neoplasms,4.7
2015,25 to 29 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2015,25 to 29 years,Males,Diabetes mellitus,1.8
2015,25 to 29 years,Males,Diseases of heart,3.2
2015,25 to 29 years,Males,Influenza and pneumonia,0.3
2015,25 to 29 years,Males,Acute bronchitis and bronchiolitis,0.0
2015,25 to 29 years,Males,Chronic lower respiratory diseases,0.4
2015,25 to 29 years,Females,Malignant neoplasms,6.2
2015,25 to 29 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2015,25 to 29 years,Females,Diabetes mellitus,0.8
2015,25 to 29 years,Females,Diseases of heart,1.9
2015,25 to 29 years,Females,Influenza and pneumonia,0.1
2015,25 to 29 years,Females,Acute bronchitis and bronchiolitis,0.0
2015,25 to 29 years,Females,Chronic lower respiratory diseases,0.2
2015,30 to 34 years,Both sexes,Malignant neoplasms,11.0
2015,30 to 34 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,30 to 34 years,Both sexes,Diabetes mellitus,0.8
2015,30 to 34 years,Both sexes,Diseases of heart,3.5
2015,30 to 34 years,Both sexes,Influenza and pneumonia,0.6
2015,30 to 34 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2015,30 to 34 years,Both sexes,Chronic lower respiratory diseases,0.1
2015,30 to 34 years,Males,Malignant neoplasms,10.1
2015,30 to 34 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,30 to 34 years,Males,Diabetes mellitus,1.0
2015,30 to 34 years,Males,Diseases of heart,4.7
2015,30 to 34 years,Males,Influenza and pneumonia,0.6
2015,30 to 34 years,Males,Acute bronchitis and bronchiolitis,0.0
2015,30 to 34 years,Males,Chronic lower respiratory diseases,0.0
2015,30 to 34 years,Females,Malignant neoplasms,11.8
2015,30 to 34 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,30 to 34 years,Females,Diabetes mellitus,0.6
2015,30 to 34 years,Females,Diseases of heart,2.2
2015,30 to 34 years,Females,Influenza and pneumonia,0.6
2015,30 to 34 years,Females,Acute bronchitis and bronchiolitis,0.0
2015,30 to 34 years,Females,Chronic lower respiratory diseases,0.2
2015,35 to 44 years,Both sexes,Malignant neoplasms,23.6
2015,35 to 44 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2015,35 to 44 years,Both sexes,Diabetes mellitus,2.2
2015,35 to 44 years,Both sexes,Diseases of heart,9.7
2015,35 to 44 years,Both sexes,Influenza and pneumonia,1.2
2015,35 to 44 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2015,35 to 44 years,Both sexes,Chronic lower respiratory diseases,0.6
2015,35 to 44 years,Males,Malignant neoplasms,19.7
2015,35 to 44 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
