Year,Age at time of death,Sex,Causes of death,Value
2016,75 to 84 years,Females,Acute bronchitis and bronchiolitis,0.6
2016,75 to 84 years,Females,Chronic lower respiratory diseases,206.1
2016,75 to 79 years,Both sexes,Malignant neoplasms,1080.7
2016,75 to 79 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",20.1
2016,75 to 79 years,Both sexes,Diabetes mellitus,86.8
2016,75 to 79 years,Both sexes,Diseases of heart,531.1
2016,75 to 79 years,Both sexes,Influenza and pneumonia,50.5
2016,75 to 79 years,Both sexes,Acute bronchitis and bronchiolitis,0.4
2016,75 to 79 years,Both sexes,Chronic lower respiratory diseases,180.4
2016,75 to 79 years,Males,Malignant neoplasms,1311.1
2016,75 to 79 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",23.6
2016,75 to 79 years,Males,Diabetes mellitus,108.0
2016,75 to 79 years,Males,Diseases of heart,701.3
2016,75 to 79 years,Males,Influenza and pneumonia,61.6
2016,75 to 79 years,Males,Acute bronchitis and bronchiolitis,0.6
2016,75 to 79 years,Males,Chronic lower respiratory diseases,200.8
2016,75 to 79 years,Females,Malignant neoplasms,886.2
2016,75 to 79 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",17.1
2016,75 to 79 years,Females,Diabetes mellitus,68.9
2016,75 to 79 years,Females,Diseases of heart,387.3
2016,75 to 79 years,Females,Influenza and pneumonia,41.1
2016,75 to 79 years,Females,Acute bronchitis and bronchiolitis,0.2
2016,75 to 79 years,Females,Chronic lower respiratory diseases,163.1
2016,80 to 84 years,Both sexes,Malignant neoplasms,1490.6
2016,80 to 84 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",36.7
2016,80 to 84 years,Both sexes,Diabetes mellitus,139.3
2016,80 to 84 years,Both sexes,Diseases of heart,990.0
2016,80 to 84 years,Both sexes,Influenza and pneumonia,108.9
2016,80 to 84 years,Both sexes,Acute bronchitis and bronchiolitis,1.2
2016,80 to 84 years,Both sexes,Chronic lower respiratory diseases,298.3
2016,80 to 84 years,Males,Malignant neoplasms,1876.8
2016,80 to 84 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",44.2
2016,80 to 84 years,Males,Diabetes mellitus,170.1
2016,80 to 84 years,Males,Diseases of heart,1270.7
2016,80 to 84 years,Males,Influenza and pneumonia,128.4
2016,80 to 84 years,Males,Acute bronchitis and bronchiolitis,1.2
2016,80 to 84 years,Males,Chronic lower respiratory diseases,345.5
2016,80 to 84 years,Females,Malignant neoplasms,1196.9
2016,80 to 84 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",31.1
2016,80 to 84 years,Females,Diabetes mellitus,115.8
2016,80 to 84 years,Females,Diseases of heart,776.5
2016,80 to 84 years,Females,Influenza and pneumonia,94.1
2016,80 to 84 years,Females,Acute bronchitis and bronchiolitis,1.2
2016,80 to 84 years,Females,Chronic lower respiratory diseases,262.5
2016,85 and over,Both sexes,Malignant neoplasms,2066.4
2016,85 and over,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",79.6
2016,85 and over,Both sexes,Diabetes mellitus,278.0
2016,85 and over,Both sexes,Diseases of heart,2892.0
2016,85 and over,Both sexes,Influenza and pneumonia,442.8
2016,85 and over,Both sexes,Acute bronchitis and bronchiolitis,3.6
2016,85 and over,Both sexes,Chronic lower respiratory diseases,557.8
2016,85 and over,Males,Malignant neoplasms,2856.5
2016,85 and over,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",107.3
2016,85 and over,Males,Diabetes mellitus,320.0
2016,85 and over,Males,Diseases of heart,3262.6
2016,85 and over,Males,Influenza and pneumonia,518.5
2016,85 and over,Males,Acute bronchitis and bronchiolitis,4.0
2016,85 and over,Males,Chronic lower respiratory diseases,750.3
2016,85 and over,Females,Malignant neoplasms,1645.3
2016,85 and over,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",64.8
2016,85 and over,Females,Diabetes mellitus,255.6
2016,85 and over,Females,Diseases of heart,2694.4
2016,85 and over,Females,Influenza and pneumonia,402.5
2016,85 and over,Females,Acute bronchitis and bronchiolitis,3.3
2016,85 and over,Females,Chronic lower respiratory diseases,455.2
2016,85 to 89 years,Both sexes,Malignant neoplasms,1920.3
2016,85 to 89 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",65.0
2016,85 to 89 years,Both sexes,Diabetes mellitus,223.6
2016,85 to 89 years,Both sexes,Diseases of heart,1884.9
2016,85 to 89 years,Both sexes,Influenza and pneumonia,266.4
2016,85 to 89 years,Both sexes,Acute bronchitis and bronchiolitis,1.8
2016,85 to 89 years,Both sexes,Chronic lower respiratory diseases,457.9
2016,85 to 89 years,Males,Malignant neoplasms,2615.0
2016,85 to 89 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",92.3
2016,85 to 89 years,Males,Diabetes mellitus,270.5
2016,85 to 89 years,Males,Diseases of heart,2347.7
2016,85 to 89 years,Males,Influenza and pneumonia,337.3
2016,85 to 89 years,Males,Acute bronchitis and bronchiolitis,2.7
2016,85 to 89 years,Males,Chronic lower respiratory diseases,588.7
2016,85 to 89 years,Females,Malignant neoplasms,1489.1
2016,85 to 89 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",48.0
2016,85 to 89 years,Females,Diabetes mellitus,194.5
2016,85 to 89 years,Females,Diseases of heart,1597.7
2016,85 to 89 years,Females,Influenza and pneumonia,222.5
2016,85 to 89 years,Females,Acute bronchitis and bronchiolitis,1.3
2016,85 to 89 years,Females,Chronic lower respiratory diseases,376.8
2016,90 years and over,Both sexes,Malignant neoplasms,2311.8
2016,90 years and over,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",104.0
2016,90 years and over,Both sexes,Diabetes mellitus,369.4
2016,90 years and over,Both sexes,Diseases of heart,4583.3
2016,90 years and over,Both sexes,Influenza and pneumonia,739.1
2016,90 years and over,Both sexes,Acute bronchitis and bronchiolitis,6.5
2016,90 years and over,Both sexes,Chronic lower respiratory diseases,725.5
2016,90 years and over,Males,Malignant neoplasms,3395.4
2016,90 years and over,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",140.8
2016,90 years and over,Males,Diabetes mellitus,430.6
2016,90 years and over,Males,Diseases of heart,5303.7
2016,90 years and over,Males,Influenza and pneumonia,922.8
2016,90 years and over,Males,Acute bronchitis and bronchiolitis,7.1
2016,90 years and over,Males,Chronic lower respiratory diseases,1110.9
2016,90 years and over,Females,Malignant neoplasms,1872.8
2016,90 years and over,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",89.1
2016,90 years and over,Females,Diabetes mellitus,344.6
2016,90 years and over,Females,Diseases of heart,4291.5
2016,90 years and over,Females,Influenza and pneumonia,664.7
2016,90 years and over,Females,Acute bronchitis and bronchiolitis,6.2
2016,90 years and over,Females,Chronic lower respiratory diseases,569.3
2017,All ages,Both sexes,Malignant neoplasms,219.2
2017,All ages,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",4.4
2017,All ages,Both sexes,Diabetes mellitus,19.0
2017,All ages,Both sexes,Diseases of heart,146.5
2017,All ages,Both sexes,Influenza and pneumonia,20.4
2017,All ages,Both sexes,Acute bronchitis and bronchiolitis,0.1
2017,All ages,Both sexes,Chronic lower respiratory diseases,35.3
2017,All ages,Males,Malignant neoplasms,233.3
2017,All ages,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",4.7
2017,All ages,Males,Diabetes mellitus,21.6
2017,All ages,Males,Diseases of heart,159.6
2017,All ages,Males,Influenza and pneumonia,18.4
2017,All ages,Males,Acute bronchitis and bronchiolitis,0.1
2017,All ages,Males,Chronic lower respiratory diseases,34.8
2017,All ages,Females,Malignant neoplasms,205.3
2017,All ages,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",4.1
2017,All ages,Females,Diabetes mellitus,16.4
2017,All ages,Females,Diseases of heart,133.6
2017,All ages,Females,Influenza and pneumonia,22.3
2017,All ages,Females,Acute bronchitis and bronchiolitis,0.1
2017,All ages,Females,Chronic lower respiratory diseases,35.8
2017,1 to 14 years,Both sexes,Malignant neoplasms,1.9
2017,1 to 14 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2017,1 to 14 years,Both sexes,Diabetes mellitus,0.0
2017,1 to 14 years,Both sexes,Diseases of heart,0.4
2017,1 to 14 years,Both sexes,Influenza and pneumonia,0.4
2017,1 to 14 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2017,1 to 14 years,Both sexes,Chronic lower respiratory diseases,0.1
2017,1 to 14 years,Males,Malignant neoplasms,2.4
2017,1 to 14 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.0
2017,1 to 14 years,Males,Diabetes mellitus,0.0
2017,1 to 14 years,Males,Diseases of heart,0.5
2017,1 to 14 years,Males,Influenza and pneumonia,0.4
2017,1 to 14 years,Males,Acute bronchitis and bronchiolitis,0.0
2017,1 to 14 years,Males,Chronic lower respiratory diseases,0.0
2017,1 to 14 years,Females,Malignant neoplasms,1.4
2017,1 to 14 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2017,1 to 14 years,Females,Diabetes mellitus,0.0
2017,1 to 14 years,Females,Diseases of heart,0.3
2017,1 to 14 years,Females,Influenza and pneumonia,0.3
2017,1 to 14 years,Females,Acute bronchitis and bronchiolitis,0.0
2017,1 to 14 years,Females,Chronic lower respiratory diseases,0.1
2017,1 to 4 years,Both sexes,Malignant neoplasms,2.2
2017,1 to 4 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2017,1 to 4 years,Both sexes,Diabetes mellitus,0.0
2017,1 to 4 years,Both sexes,Diseases of heart,0.5
2017,1 to 4 years,Both sexes,Influenza and pneumonia,0.8
2017,1 to 4 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2017,1 to 4 years,Both sexes,Chronic lower respiratory diseases,0.1
2017,1 to 4 years,Males,Malignant neoplasms,2.8
2017,1 to 4 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.0
2017,1 to 4 years,Males,Diabetes mellitus,0.0
2017,1 to 4 years,Males,Diseases of heart,0.6
2017,1 to 4 years,Males,Influenza and pneumonia,0.9
2017,1 to 4 years,Males,Acute bronchitis and bronchiolitis,0.0
2017,1 to 4 years,Males,Chronic lower respiratory diseases,0.0
2017,1 to 4 years,Females,Malignant neoplasms,1.6
2017,1 to 4 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2017,1 to 4 years,Females,Diabetes mellitus,0.0
2017,1 to 4 years,Females,Diseases of heart,0.4
2017,1 to 4 years,Females,Influenza and pneumonia,0.8
2017,1 to 4 years,Females,Acute bronchitis and bronchiolitis,0.0
2017,1 to 4 years,Females,Chronic lower respiratory diseases,0.1
2017,5 to 9 years,Both sexes,Malignant neoplasms,2.1
2017,5 to 9 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.0
2017,5 to 9 years,Both sexes,Diabetes mellitus,0.0
2017,5 to 9 years,Both sexes,Diseases of heart,0.3
2017,5 to 9 years,Both sexes,Influenza and pneumonia,0.0
2017,5 to 9 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2017,5 to 9 years,Both sexes,Chronic lower respiratory diseases,0.0
2017,5 to 9 years,Males,Malignant neoplasms,2.4
2017,5 to 9 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.0
2017,5 to 9 years,Males,Diabetes mellitus,0.0
2017,5 to 9 years,Males,Diseases of heart,0.5
2017,5 to 9 years,Males,Influenza and pneumonia,0.1
2017,5 to 9 years,Males,Acute bronchitis and bronchiolitis,0.0
2017,5 to 9 years,Males,Chronic lower respiratory diseases,0.0
2017,5 to 9 years,Females,Malignant neoplasms,1.8
2017,5 to 9 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.0
2017,5 to 9 years,Females,Diabetes mellitus,0.0
2017,5 to 9 years,Females,Diseases of heart,0.2
2017,5 to 9 years,Females,Influenza and pneumonia,0.0
2017,5 to 9 years,Females,Acute bronchitis and bronchiolitis,0.0
2017,5 to 9 years,Females,Chronic lower respiratory diseases,0.0
2017,10 to 14 years,Both sexes,Malignant neoplasms,1.5
2017,10 to 14 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2017,10 to 14 years,Both sexes,Diabetes mellitus,0.0
2017,10 to 14 years,Both sexes,Diseases of heart,0.4
2017,10 to 14 years,Both sexes,Influenza and pneumonia,0.4
2017,10 to 14 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2017,10 to 14 years,Both sexes,Chronic lower respiratory diseases,0.2
2017,10 to 14 years,Males,Malignant neoplasms,2.1
2017,10 to 14 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2017,10 to 14 years,Males,Diabetes mellitus,0.0
2017,10 to 14 years,Males,Diseases of heart,0.4
2017,10 to 14 years,Males,Influenza and pneumonia,0.4
2017,10 to 14 years,Males,Acute bronchitis and bronchiolitis,0.0
2017,10 to 14 years,Males,Chronic lower respiratory diseases,0.1
2017,10 to 14 years,Females,Malignant neoplasms,0.8
2017,10 to 14 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2017,10 to 14 years,Females,Diabetes mellitus,0.0
2017,10 to 14 years,Females,Diseases of heart,0.4
2017,10 to 14 years,Females,Influenza and pneumonia,0.3
2017,10 to 14 years,Females,Acute bronchitis and bronchiolitis,0.0
2017,10 to 14 years,Females,Chronic lower respiratory diseases,0.3
2017,15 to 24,Both sexes,Malignant neoplasms,3.2
2017,15 to 24,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2017,15 to 24,Both sexes,Diabetes mellitus,0.3
2017,15 to 24,Both sexes,Diseases of heart,1.2
2017,15 to 24,Both sexes,Influenza and pneumonia,0.2
2017,15 to 24,Both sexes,Acute bronchitis and bronchiolitis,0.0
2017,15 to 24,Both sexes,Chronic lower respiratory diseases,0.3
2017,15 to 24,Males,Malignant neoplasms,4.0
2017,15 to 24,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2017,15 to 24,Males,Diabetes mellitus,0.3
2017,15 to 24,Males,Diseases of heart,1.6
2017,15 to 24,Males,Influenza and pneumonia,0.2
2017,15 to 24,Males,Acute bronchitis and bronchiolitis,0.0
2017,15 to 24,Males,Chronic lower respiratory diseases,0.2
2017,15 to 24,Females,Malignant neoplasms,2.4
2017,15 to 24,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2017,15 to 24,Females,Diabetes mellitus,0.4
2017,15 to 24,Females,Diseases of heart,0.7
2017,15 to 24,Females,Influenza and pneumonia,0.2
2017,15 to 24,Females,Acute bronchitis and bronchiolitis,0.0
2017,15 to 24,Females,Chronic lower respiratory diseases,0.3
2017,15 to 19 years,Both sexes,Malignant neoplasms,2.4
2017,15 to 19 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2017,15 to 19 years,Both sexes,Diabetes mellitus,0.3
2017,15 to 19 years,Both sexes,Diseases of heart,0.5
2017,15 to 19 years,Both sexes,Influenza and pneumonia,0.1
2017,15 to 19 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2017,15 to 19 years,Both sexes,Chronic lower respiratory diseases,0.3
2017,15 to 19 years,Males,Malignant neoplasms,3.2
2017,15 to 19 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2017,15 to 19 years,Males,Diabetes mellitus,0.4
2017,15 to 19 years,Males,Diseases of heart,0.6
2017,15 to 19 years,Males,Influenza and pneumonia,0.3
2017,15 to 19 years,Males,Acute bronchitis and bronchiolitis,0.0
2017,15 to 19 years,Males,Chronic lower respiratory diseases,0.2
2017,15 to 19 years,Females,Malignant neoplasms,1.6
2017,15 to 19 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2017,15 to 19 years,Females,Diabetes mellitus,0.2
2017,15 to 19 years,Females,Diseases of heart,0.5
2017,15 to 19 years,Females,Influenza and pneumonia,0.0
2017,15 to 19 years,Females,Acute bronchitis and bronchiolitis,0.0
2017,15 to 19 years,Females,Chronic lower respiratory diseases,0.4
2017,20 to 24 years,Both sexes,Malignant neoplasms,3.9
2017,20 to 24 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2017,20 to 24 years,Both sexes,Diabetes mellitus,0.4
2017,20 to 24 years,Both sexes,Diseases of heart,1.8
2017,20 to 24 years,Both sexes,Influenza and pneumonia,0.2
2017,20 to 24 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2017,20 to 24 years,Both sexes,Chronic lower respiratory diseases,0.3
2017,20 to 24 years,Males,Malignant neoplasms,4.7
2017,20 to 24 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2017,20 to 24 years,Males,Diabetes mellitus,0.2
2017,20 to 24 years,Males,Diseases of heart,2.5
2017,20 to 24 years,Males,Influenza and pneumonia,0.1
2017,20 to 24 years,Males,Acute bronchitis and bronchiolitis,0.0
2017,20 to 24 years,Males,Chronic lower respiratory diseases,0.2
2017,20 to 24 years,Females,Malignant neoplasms,3.0
2017,20 to 24 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2017,20 to 24 years,Females,Diabetes mellitus,0.5
2017,20 to 24 years,Females,Diseases of heart,1.0
2017,20 to 24 years,Females,Influenza and pneumonia,0.3
2017,20 to 24 years,Females,Acute bronchitis and bronchiolitis,0.0
2017,20 to 24 years,Females,Chronic lower respiratory diseases,0.3
2017,25 to 34 years,Both sexes,Malignant neoplasms,7.3
2017,25 to 34 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2017,25 to 34 years,Both sexes,Diabetes mellitus,1.0
2017,25 to 34 years,Both sexes,Diseases of heart,3.4
2017,25 to 34 years,Both sexes,Influenza and pneumonia,0.5
2017,25 to 34 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2017,25 to 34 years,Both sexes,Chronic lower respiratory diseases,0.2
2017,25 to 34 years,Males,Malignant neoplasms,7.4
2017,25 to 34 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2017,25 to 34 years,Males,Diabetes mellitus,1.1
2017,25 to 34 years,Males,Diseases of heart,4.3
2017,25 to 34 years,Males,Influenza and pneumonia,0.5
2017,25 to 34 years,Males,Acute bronchitis and bronchiolitis,0.0
2017,25 to 34 years,Males,Chronic lower respiratory diseases,0.2
2017,25 to 34 years,Females,Malignant neoplasms,7.3
2017,25 to 34 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2017,25 to 34 years,Females,Diabetes mellitus,0.9
2017,25 to 34 years,Females,Diseases of heart,2.6
2017,25 to 34 years,Females,Influenza and pneumonia,0.4
2017,25 to 34 years,Females,Acute bronchitis and bronchiolitis,0.0
2017,25 to 34 years,Females,Chronic lower respiratory diseases,0.3
2017,25 to 29 years,Both sexes,Malignant neoplasms,5.9
2017,25 to 29 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2017,25 to 29 years,Both sexes,Diabetes mellitus,0.5
2017,25 to 29 years,Both sexes,Diseases of heart,2.7
2017,25 to 29 years,Both sexes,Influenza and pneumonia,0.4
2017,25 to 29 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2017,25 to 29 years,Both sexes,Chronic lower respiratory diseases,0.1
2017,25 to 29 years,Males,Malignant neoplasms,6.3
2017,25 to 29 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2017,25 to 29 years,Males,Diabetes mellitus,0.6
2017,25 to 29 years,Males,Diseases of heart,3.2
2017,25 to 29 years,Males,Influenza and pneumonia,0.4
2017,25 to 29 years,Males,Acute bronchitis and bronchiolitis,0.0
2017,25 to 29 years,Males,Chronic lower respiratory diseases,0.0
2017,25 to 29 years,Females,Malignant neoplasms,5.4
2017,25 to 29 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2017,25 to 29 years,Females,Diabetes mellitus,0.4
2017,25 to 29 years,Females,Diseases of heart,2.1
2017,25 to 29 years,Females,Influenza and pneumonia,0.3
2017,25 to 29 years,Females,Acute bronchitis and bronchiolitis,0.0
2017,25 to 29 years,Females,Chronic lower respiratory diseases,0.2
2017,30 to 34 years,Both sexes,Malignant neoplasms,8.8
2017,30 to 34 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2017,30 to 34 years,Both sexes,Diabetes mellitus,1.4
2017,30 to 34 years,Both sexes,Diseases of heart,4.2
2017,30 to 34 years,Both sexes,Influenza and pneumonia,0.6
2017,30 to 34 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2017,30 to 34 years,Both sexes,Chronic lower respiratory diseases,0.4
2017,30 to 34 years,Males,Malignant neoplasms,8.5
2017,30 to 34 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2017,30 to 34 years,Males,Diabetes mellitus,1.5
2017,30 to 34 years,Males,Diseases of heart,5.4
2017,30 to 34 years,Males,Influenza and pneumonia,0.6
2017,30 to 34 years,Males,Acute bronchitis and bronchiolitis,0.0
2017,30 to 34 years,Males,Chronic lower respiratory diseases,0.3
2017,30 to 34 years,Females,Malignant neoplasms,9.2
2017,30 to 34 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2017,30 to 34 years,Females,Diabetes mellitus,1.3
2017,30 to 34 years,Females,Diseases of heart,3.0
2017,30 to 34 years,Females,Influenza and pneumonia,0.5
2017,30 to 34 years,Females,Acute bronchitis and bronchiolitis,0.0
2017,30 to 34 years,Females,Chronic lower respiratory diseases,0.4
2017,35 to 44 years,Both sexes,Malignant neoplasms,23.3
2017,35 to 44 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2017,35 to 44 years,Both sexes,Diabetes mellitus,2.1
2017,35 to 44 years,Both sexes,Diseases of heart,10.1
2017,35 to 44 years,Both sexes,Influenza and pneumonia,0.9
2017,35 to 44 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2017,35 to 44 years,Both sexes,Chronic lower respiratory diseases,0.4
2017,35 to 44 years,Males,Malignant neoplasms,19.7
2017,35 to 44 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2017,35 to 44 years,Males,Diabetes mellitus,2.7
2017,35 to 44 years,Males,Diseases of heart,15.0
2017,35 to 44 years,Males,Influenza and pneumonia,1.0
2017,35 to 44 years,Males,Acute bronchitis and bronchiolitis,0.0
2017,35 to 44 years,Males,Chronic lower respiratory diseases,0.4
2017,35 to 44 years,Females,Malignant neoplasms,26.9
2017,35 to 44 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2017,35 to 44 years,Females,Diabetes mellitus,1.4
2017,35 to 44 years,Females,Diseases of heart,5.2
2017,35 to 44 years,Females,Influenza and pneumonia,0.8
2017,35 to 44 years,Females,Acute bronchitis and bronchiolitis,0.0
2017,35 to 44 years,Females,Chronic lower respiratory diseases,0.3
2017,35 to 39 years,Both sexes,Malignant neoplasms,17.5
2017,35 to 39 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2017,35 to 39 years,Both sexes,Diabetes mellitus,1.6
2017,35 to 39 years,Both sexes,Diseases of heart,6.7
2017,35 to 39 years,Both sexes,Influenza and pneumonia,0.9
2017,35 to 39 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2017,35 to 39 years,Both sexes,Chronic lower respiratory diseases,0.3
2017,35 to 39 years,Males,Malignant neoplasms,15.4
2017,35 to 39 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2017,35 to 39 years,Males,Diabetes mellitus,2.1
2017,35 to 39 years,Males,Diseases of heart,9.9
2017,35 to 39 years,Males,Influenza and pneumonia,0.8
2017,35 to 39 years,Males,Acute bronchitis and bronchiolitis,0.0
2017,35 to 39 years,Males,Chronic lower respiratory diseases,0.4
2017,35 to 39 years,Females,Malignant neoplasms,19.6
2017,35 to 39 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2017,35 to 39 years,Females,Diabetes mellitus,1.1
2017,35 to 39 years,Females,Diseases of heart,3.6
2017,35 to 39 years,Females,Influenza and pneumonia,0.9
2017,35 to 39 years,Females,Acute bronchitis and bronchiolitis,0.0
2017,35 to 39 years,Females,Chronic lower respiratory diseases,0.2
2017,40 to 44 years,Both sexes,Malignant neoplasms,29.4
2017,40 to 44 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2017,40 to 44 years,Both sexes,Diabetes mellitus,2.6
2017,40 to 44 years,Both sexes,Diseases of heart,13.6
2017,40 to 44 years,Both sexes,Influenza and pneumonia,1.0
2017,40 to 44 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2017,40 to 44 years,Both sexes,Chronic lower respiratory diseases,0.4
2017,40 to 44 years,Males,Malignant neoplasms,24.2
2017,40 to 44 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.7
2017,40 to 44 years,Males,Diabetes mellitus,3.4
2017,40 to 44 years,Males,Diseases of heart,20.4
2017,40 to 44 years,Males,Influenza and pneumonia,1.2
2017,40 to 44 years,Males,Acute bronchitis and bronchiolitis,0.0
2017,40 to 44 years,Males,Chronic lower respiratory diseases,0.4
2017,40 to 44 years,Females,Malignant neoplasms,34.5
2017,40 to 44 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2017,40 to 44 years,Females,Diabetes mellitus,1.8
2017,40 to 44 years,Females,Diseases of heart,7.0
2017,40 to 44 years,Females,Influenza and pneumonia,0.8
2017,40 to 44 years,Females,Acute bronchitis and bronchiolitis,0.0
2017,40 to 44 years,Females,Chronic lower respiratory diseases,0.4
2017,45 to 54 years,Both sexes,Malignant neoplasms,84.4
2017,45 to 54 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",1.0
2017,45 to 54 years,Both sexes,Diabetes mellitus,6.4
2017,45 to 54 years,Both sexes,Diseases of heart,35.2
2017,45 to 54 years,Both sexes,Influenza and pneumonia,2.9
2017,45 to 54 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2017,45 to 54 years,Both sexes,Chronic lower respiratory diseases,3.8
2017,45 to 54 years,Males,Malignant neoplasms,80.2
2017,45 to 54 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.9
2017,45 to 54 years,Males,Diabetes mellitus,8.3
2017,45 to 54 years,Males,Diseases of heart,54.3
2017,45 to 54 years,Males,Influenza and pneumonia,3.3
