Year,Series,Units,Geography,Value
1991/01,Ratio of land consumption rate to population growth rate,Ratio,"Windsor, Ontario",1981.56
1991/01,Ratio of land consumption rate to population growth rate,Ratio,"Winnipeg, Manitoba",29506.24
2001/11,Ratio of land consumption rate to population growth rate,Ratio,,100656.0
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Abbotsford - Mission, British Columbia",948.91
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Barrie, Ontario",668.53
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Brantford, Ontario",1117.25
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Calgary, Alberta",2860.39
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Edmonton, Alberta",5142.03
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Greater Sudbury, Ontario",8201.66
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Guelph, Ontario",822.32
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Halifax, Nova Scotia",4050.12
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Hamilton, Ontario",4657.02
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Kelowna, British Columbia",933.73
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Kingston, Ontario",2032.27
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Kitchener - Cambridge - Waterloo, Ontario",1983.47
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"London, Ontario",4725.84
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Moncton, New Brunswick",1166.34
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Montreal, Quebec",13317.18
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Oshawa, Ontario",1243.84
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Ottawa - Gatineau (Ontario part), Ontario",4729.05
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Ottawa - Gatineau (Quebec part), Quebec",1874.64
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Peterborough, Ontario",2342.13
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Quebec, Quebec",4044.17
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Regina, Saskatchewan",2596.52
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Saguenay, Quebec",-21231.8
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Saint John, New Brunswick",5222.3
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Saskatoon, Saskatchewan",2230.43
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Sherbrooke, Quebec",1752.54
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"St. Catharines - Niagara, Ontario",8047.69
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"St. John's, Newfoundland and Labrador",1352.43
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Thunder Bay, Ontario",28248.48
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Toronto, Ontario",12247.96
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Trois-Rivières, Quebec",1367.4
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Vancouver, British Columbia",6376.18
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Victoria, British Columbia",1531.51
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Windsor, Ontario",4643.71
2001/11,Ratio of land consumption rate to population growth rate,Ratio,"Winnipeg, Manitoba",7340.74
1971/91,Land Consumption Rate,Percentage (%),,578.93
1971/91,Land Consumption Rate,Percentage (%),"Abbotsford - Mission, British Columbia",5.05
1971/91,Land Consumption Rate,Percentage (%),"Barrie, Ontario",5.4
1971/91,Land Consumption Rate,Percentage (%),"Brantford, Ontario",5.43
1971/91,Land Consumption Rate,Percentage (%),"Calgary, Alberta",28.52
1971/91,Land Consumption Rate,Percentage (%),"Edmonton, Alberta",44.5
1971/91,Land Consumption Rate,Percentage (%),"Greater Sudbury, Ontario",10.27
1971/91,Land Consumption Rate,Percentage (%),"Guelph, Ontario",4.15
1971/91,Land Consumption Rate,Percentage (%),"Halifax, Nova Scotia",15.61
1971/91,Land Consumption Rate,Percentage (%),"Hamilton, Ontario",16.12
1971/91,Land Consumption Rate,Percentage (%),"Kelowna, British Columbia",6.96
1971/91,Land Consumption Rate,Percentage (%),"Kingston, Ontario",8.73
1971/91,Land Consumption Rate,Percentage (%),"Kitchener - Cambridge - Waterloo, Ontario",10.82
1971/91,Land Consumption Rate,Percentage (%),"London, Ontario",16.5
1971/91,Land Consumption Rate,Percentage (%),"Moncton, New Brunswick",6.39
1971/91,Land Consumption Rate,Percentage (%),"Montreal, Quebec",64.8
1971/91,Land Consumption Rate,Percentage (%),"Oshawa, Ontario",8.61
1971/91,Land Consumption Rate,Percentage (%),"Ottawa - Gatineau (Ontario part), Ontario",28.53
1971/91,Land Consumption Rate,Percentage (%),"Ottawa - Gatineau (Quebec part), Quebec",11.72
1971/91,Land Consumption Rate,Percentage (%),"Peterborough, Ontario",6.29
1971/91,Land Consumption Rate,Percentage (%),"Quebec, Quebec",18.08
1971/91,Land Consumption Rate,Percentage (%),"Regina, Saskatchewan",10.46
1971/91,Land Consumption Rate,Percentage (%),"Saguenay, Quebec",7.64
1971/91,Land Consumption Rate,Percentage (%),"Saint John, New Brunswick",8.84
1971/91,Land Consumption Rate,Percentage (%),"Saskatoon, Saskatchewan",14.48
1971/91,Land Consumption Rate,Percentage (%),"Sherbrooke, Quebec",7.56
1971/91,Land Consumption Rate,Percentage (%),"St. Catharines - Niagara, Ontario",15.67
1971/91,Land Consumption Rate,Percentage (%),"St. John's, Newfoundland and Labrador",5.94
1971/91,Land Consumption Rate,Percentage (%),"Thunder Bay, Ontario",7.13
1971/91,Land Consumption Rate,Percentage (%),"Toronto, Ontario",85.63
1971/91,Land Consumption Rate,Percentage (%),"Trois-Rivières, Quebec",5.86
1971/91,Land Consumption Rate,Percentage (%),"Vancouver, British Columbia",39.99
1971/91,Land Consumption Rate,Percentage (%),"Victoria, British Columbia",9.14
1971/91,Land Consumption Rate,Percentage (%),"Windsor, Ontario",10.66
1971/91,Land Consumption Rate,Percentage (%),"Winnipeg, Manitoba",25.79
1991/01,Land Consumption Rate,Percentage (%),,1353.09
1991/01,Land Consumption Rate,Percentage (%),"Abbotsford - Mission, British Columbia",12.95
1991/01,Land Consumption Rate,Percentage (%),"Barrie, Ontario",14.5
1991/01,Land Consumption Rate,Percentage (%),"Brantford, Ontario",14.86
1991/01,Land Consumption Rate,Percentage (%),"Calgary, Alberta",63.27
1991/01,Land Consumption Rate,Percentage (%),"Edmonton, Alberta",103.64
1991/01,Land Consumption Rate,Percentage (%),"Greater Sudbury, Ontario",24.82
1991/01,Land Consumption Rate,Percentage (%),"Guelph, Ontario",10.6
1991/01,Land Consumption Rate,Percentage (%),"Halifax, Nova Scotia",42.71
1991/01,Land Consumption Rate,Percentage (%),"Hamilton, Ontario",39.63
1991/01,Land Consumption Rate,Percentage (%),"Kelowna, British Columbia",16.41
1991/01,Land Consumption Rate,Percentage (%),"Kingston, Ontario",19.31
1991/01,Land Consumption Rate,Percentage (%),"Kitchener - Cambridge - Waterloo, Ontario",26.42
1991/01,Land Consumption Rate,Percentage (%),"London, Ontario",39.55
1991/01,Land Consumption Rate,Percentage (%),"Moncton, New Brunswick",16.71
1991/01,Land Consumption Rate,Percentage (%),"Montreal, Quebec",140.87
1991/01,Land Consumption Rate,Percentage (%),"Oshawa, Ontario",21.93
1991/01,Land Consumption Rate,Percentage (%),"Ottawa - Gatineau (Ontario part), Ontario",58.96
