Year,Size,Value
2001,Small-scale food producers,331
2006,Small-scale food producers,332
2011,Small-scale food producers,296
2016,Small-scale food producers,388
2001,Medium-Large scale food producers,26562
2006,Medium-Large scale food producers,25701
2011,Medium-Large scale food producers,31116
2016,Medium-Large scale food producers,43757
2001,,9027
2006,,9947
2011,,11688
2016,,16414
