Year,Series,Geography,Public sector components,GeoCode,Value
2017,Official development assistance on conservation and sustainable use of biodiversity,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,10,7000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Prince Edward Island,Consolidated provincial-territorial and local governments,11,2000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Nova Scotia,Consolidated provincial-territorial and local governments,12,21000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,New Brunswick,Consolidated provincial-territorial and local governments,13,18000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Quebec,Consolidated provincial-territorial and local governments,24,140000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Ontario,Consolidated provincial-territorial and local governments,35,862000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Manitoba,Consolidated provincial-territorial and local governments,46,34000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Saskatchewan,Consolidated provincial-territorial and local governments,47,20000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Alberta,Consolidated provincial-territorial and local governments,48,297000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,British Columbia,Consolidated provincial-territorial and local governments,59,52000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Yukon,Consolidated provincial-territorial and local governments,60,34000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Northwest Territories,Consolidated provincial-territorial and local governments,61,13000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Nunavut,Consolidated provincial-territorial and local governments,62,6000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Canada,Consolidated provincial-territorial and local governments,,1360000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,10,6000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Prince Edward Island,Consolidated provincial-territorial and local governments,11,2000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Nova Scotia,Consolidated provincial-territorial and local governments,12,36000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,New Brunswick,Consolidated provincial-territorial and local governments,13,19000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Quebec,Consolidated provincial-territorial and local governments,24,55000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Ontario,Consolidated provincial-territorial and local governments,35,802000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Manitoba,Consolidated provincial-territorial and local governments,46,34000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Saskatchewan,Consolidated provincial-territorial and local governments,47,22000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Alberta,Consolidated provincial-territorial and local governments,48,295000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,British Columbia,Consolidated provincial-territorial and local governments,59,46000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Yukon,Consolidated provincial-territorial and local governments,60,20000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Northwest Territories,Consolidated provincial-territorial and local governments,61,14000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Nunavut,Consolidated provincial-territorial and local governments,62,6000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Canada,Consolidated provincial-territorial and local governments,,1670000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,10,7000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Prince Edward Island,Consolidated provincial-territorial and local governments,11,2000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Nova Scotia,Consolidated provincial-territorial and local governments,12,30000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,New Brunswick,Consolidated provincial-territorial and local governments,13,18000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Quebec,Consolidated provincial-territorial and local governments,24,106000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Ontario,Consolidated provincial-territorial and local governments,35,845000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Manitoba,Consolidated provincial-territorial and local governments,46,35000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Saskatchewan,Consolidated provincial-territorial and local governments,47,23000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Alberta,Consolidated provincial-territorial and local governments,48,499000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,British Columbia,Consolidated provincial-territorial and local governments,59,46000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Yukon,Consolidated provincial-territorial and local governments,60,29000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Northwest Territories,Consolidated provincial-territorial and local governments,61,17000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Nunavut,Consolidated provincial-territorial and local governments,62,7000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Canada,Consolidated provincial-territorial and local governments,,1260000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,10,7000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Prince Edward Island,Consolidated provincial-territorial and local governments,11,2000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Nova Scotia,Consolidated provincial-territorial and local governments,12,35000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,New Brunswick,Consolidated provincial-territorial and local governments,13,16000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Quebec,Consolidated provincial-territorial and local governments,24,164000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Ontario,Consolidated provincial-territorial and local governments,35,801000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Manitoba,Consolidated provincial-territorial and local governments,46,66000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Saskatchewan,Consolidated provincial-territorial and local governments,47,22000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Alberta,Consolidated provincial-territorial and local governments,48,31000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,British Columbia,Consolidated provincial-territorial and local governments,59,58000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Yukon,Consolidated provincial-territorial and local governments,60,32000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Northwest Territories,Consolidated provincial-territorial and local governments,61,16000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Nunavut,Consolidated provincial-territorial and local governments,62,6000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Canada,Consolidated provincial-territorial and local governments,,1330000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,10,7000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Prince Edward Island,Consolidated provincial-territorial and local governments,11,2000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Nova Scotia,Consolidated provincial-territorial and local governments,12,35000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,New Brunswick,Consolidated provincial-territorial and local governments,13,13000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Quebec,Consolidated provincial-territorial and local governments,24,166000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Ontario,Consolidated provincial-territorial and local governments,35,877000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Manitoba,Consolidated provincial-territorial and local governments,46,45000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Saskatchewan,Consolidated provincial-territorial and local governments,47,23000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Alberta,Consolidated provincial-territorial and local governments,48,37000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,British Columbia,Consolidated provincial-territorial and local governments,59,65000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Yukon,Consolidated provincial-territorial and local governments,60,32000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Northwest Territories,Consolidated provincial-territorial and local governments,61,17000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Nunavut,Consolidated provincial-territorial and local governments,62,7000000.0
2012,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,22.237
2013,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,0.853
2014,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,0.814
2015,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,0.48
2016,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,1.544
2017,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,0.026
2018,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,0.548
2019,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,1.651
2020,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,3.389
2021,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,4.985
