Year,Value,Series,GeoCode
2013,66.0313712261764,Wastewater discharge from manufacturing industries,
2015,63.1190926275992,Wastewater discharge from manufacturing industries,
2017,63.0986619982493,Wastewater discharge from manufacturing industries,
2020,64.3180083377371,Wastewater discharge from manufacturing industries,
2013,99.05,Wastewater discharged from municipal sewage systems,
2014,99.04,Wastewater discharged from municipal sewage systems,
2015,99.05,Wastewater discharged from municipal sewage systems,
2016,99.06,Wastewater discharged from municipal sewage systems,
2017,99.04,Wastewater discharged from municipal sewage systems,
2018,99.05,Wastewater discharged from municipal sewage systems,
2019,99.1,Wastewater discharged from municipal sewage systems,
2020,99.12,Wastewater discharged from municipal sewage systems,
