Year,Value,Units,Series
2000,1473.01,Tonnes (million),Consommation intérieure de matières
2001,1423.17,Tonnes (million),Consommation intérieure de matières
2002,1469.28,Tonnes (million),Consommation intérieure de matières
2003,1460.45,Tonnes (million),Consommation intérieure de matières
2004,1556.07,Tonnes (million),Consommation intérieure de matières
2005,1525.85,Tonnes (million),Consommation intérieure de matières
2006,1652.65,Tonnes (million),Consommation intérieure de matières
2007,1752.49,Tonnes (million),Consommation intérieure de matières
2008,1698.86,Tonnes (million),Consommation intérieure de matières
2009,1711.42,Tonnes (million),Consommation intérieure de matières
2010,1798.92,Tonnes (million),Consommation intérieure de matières
2011,1913.08,Tonnes (million),Consommation intérieure de matières
2012,1933.67,Tonnes (million),Consommation intérieure de matières
2013,2035.2,Tonnes (million),Consommation intérieure de matières
2014,2012.24,Tonnes (million),Consommation intérieure de matières
2015,2040.18,Tonnes (million),Consommation intérieure de matières
2016,2009.55,Tonnes (million),Consommation intérieure de matières
2017,2112.05,Tonnes (million),Consommation intérieure de matières
2018,2074.66,Tonnes (million),Consommation intérieure de matières
2019,2135.63,Tonnes (million),Consommation intérieure de matières
2000,48.0,Tonnes par habitant,Consommation intérieure de matières par habitant
2001,45.88,Tonnes par habitant,Consommation intérieure de matières par habitant
2002,46.85,Tonnes par habitant,Consommation intérieure de matières par habitant
2003,46.15,Tonnes par habitant,Consommation intérieure de matières par habitant
2004,48.72,Tonnes par habitant,Consommation intérieure de matières par habitant
2005,47.32,Tonnes par habitant,Consommation intérieure de matières par habitant
2006,50.74,Tonnes par habitant,Consommation intérieure de matières par habitant
2007,53.29,Tonnes par habitant,Consommation intérieure de matières par habitant
2008,51.1,Tonnes par habitant,Consommation intérieure de matières par habitant
2009,50.89,Tonnes par habitant,Consommation intérieure de matières par habitant
2010,52.9,Tonnes par habitant,Consommation intérieure de matières par habitant
2011,55.71,Tonnes par habitant,Consommation intérieure de matières par habitant
2012,55.7,Tonnes par habitant,Consommation intérieure de matières par habitant
2013,58.01,Tonnes par habitant,Consommation intérieure de matières par habitant
2014,56.79,Tonnes par habitant,Consommation intérieure de matières par habitant
2015,57.14,Tonnes par habitant,Consommation intérieure de matières par habitant
2016,55.65,Tonnes par habitant,Consommation intérieure de matières par habitant
2017,57.79,Tonnes par habitant,Consommation intérieure de matières par habitant
2018,55.96,Tonnes par habitant,Consommation intérieure de matières par habitant
2019,56.77,Tonnes par habitant,Consommation intérieure de matières par habitant
2000,0.00096,Tonnes par dollar,Consommation intérieure de matières par PIB
2001,0.00091,Tonnes par dollar,Consommation intérieure de matières par PIB
2002,0.00091,Tonnes par dollar,Consommation intérieure de matières par PIB
2003,0.00089,Tonnes par dollar,Consommation intérieure de matières par PIB
2004,0.00092,Tonnes par dollar,Consommation intérieure de matières par PIB
2005,0.00087,Tonnes par dollar,Consommation intérieure de matières par PIB
2006,0.00092,Tonnes par dollar,Consommation intérieure de matières par PIB
2007,0.00096,Tonnes par dollar,Consommation intérieure de matières par PIB
2008,0.00092,Tonnes par dollar,Consommation intérieure de matières par PIB
2009,0.00095,Tonnes par dollar,Consommation intérieure de matières par PIB
2010,0.00097,Tonnes par dollar,Consommation intérieure de matières par PIB
2011,0.001,Tonnes par dollar,Consommation intérieure de matières par PIB
2012,0.001,Tonnes par dollar,Consommation intérieure de matières par PIB
2013,0.00102,Tonnes par dollar,Consommation intérieure de matières par PIB
2014,0.00098,Tonnes par dollar,Consommation intérieure de matières par PIB
2015,0.00099,Tonnes par dollar,Consommation intérieure de matières par PIB
2016,0.00097,Tonnes par dollar,Consommation intérieure de matières par PIB
2017,0.00099,Tonnes par dollar,Consommation intérieure de matières par PIB
2018,0.00094,Tonnes par dollar,Consommation intérieure de matières par PIB
2019,0.00095,Tonnes par dollar,Consommation intérieure de matières par PIB
