Year,Value,Units,Series
2000,1196.74,Millions de tonnes métriques,Empreinte matérielle
2001,1101.55,Millions de tonnes métriques,Empreinte matérielle
2002,1097.2,Millions de tonnes métriques,Empreinte matérielle
2003,1203.02,Millions de tonnes métriques,Empreinte matérielle
2004,1315.71,Millions de tonnes métriques,Empreinte matérielle
2005,1107.7,Millions de tonnes métriques,Empreinte matérielle
2006,1149.26,Millions de tonnes métriques,Empreinte matérielle
2007,1115.39,Millions de tonnes métriques,Empreinte matérielle
2008,1081.33,Millions de tonnes métriques,Empreinte matérielle
2009,1028.52,Millions de tonnes métriques,Empreinte matérielle
2010,1178.79,Millions de tonnes métriques,Empreinte matérielle
2011,1271.44,Millions de tonnes métriques,Empreinte matérielle
2012,1216.29,Millions de tonnes métriques,Empreinte matérielle
2013,1235.32,Millions de tonnes métriques,Empreinte matérielle
2014,1206.28,Millions de tonnes métriques,Empreinte matérielle
2015,1240.12,Millions de tonnes métriques,Empreinte matérielle
2016,1290.24,Millions de tonnes métriques,Empreinte matérielle
2017,1340.02,Millions de tonnes métriques,Empreinte matérielle
2018,1328.66,Millions de tonnes métriques,Empreinte matérielle
2019,1311.23,Millions de tonnes métriques,Empreinte matérielle
2000,39.0,Tonnes métriques,Empreinte matérielle par habitant
2001,35.51,Tonnes métriques,Empreinte matérielle par habitant
2002,34.99,Tonnes métriques,Empreinte matérielle par habitant
2003,38.02,Tonnes métriques,Empreinte matérielle par habitant
2004,41.19,Tonnes métriques,Empreinte matérielle par habitant
2005,34.35,Tonnes métriques,Empreinte matérielle par habitant
2006,35.28,Tonnes métriques,Empreinte matérielle par habitant
2007,33.91,Tonnes métriques,Empreinte matérielle par habitant
2008,32.52,Tonnes métriques,Empreinte matérielle par habitant
2009,30.58,Tonnes métriques,Empreinte matérielle par habitant
2010,34.67,Tonnes métriques,Empreinte matérielle par habitant
2011,37.03,Tonnes métriques,Empreinte matérielle par habitant
2012,35.04,Tonnes métriques,Empreinte matérielle par habitant
2013,35.21,Tonnes métriques,Empreinte matérielle par habitant
2014,34.04,Tonnes métriques,Empreinte matérielle par habitant
2015,34.73,Tonnes métriques,Empreinte matérielle par habitant
2016,35.73,Tonnes métriques,Empreinte matérielle par habitant
2017,36.67,Tonnes métriques,Empreinte matérielle par habitant
2018,35.85,Tonnes métriques,Empreinte matérielle par habitant
2019,34.87,Tonnes métriques,Empreinte matérielle par habitant
2000,818.95,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2001,742.67,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2002,718.85,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2003,773.73,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2004,821.41,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2005,669.84,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2006,678.47,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2007,644.0,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2008,618.14,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2009,607.06,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2010,676.01,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2011,707.01,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2012,665.65,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2013,660.11,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2014,626.28,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2015,639.9,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2016,660.49,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2017,662.74,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2018,636.87,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
2019,616.79,Tonnes métriques par PIB (millions de dollars CAD),Empreinte matérielle par unité de PIB
