Year,Value,Units,Series
2015,50.68,Taux par 100 000 habitants,Taux par 100 000 habitants
2016,264.06,Taux par 100 000 habitants,Taux par 100 000 habitants
2017,197.88,Taux par 100 000 habitants,Taux par 100 000 habitants
2018,43.89,Taux par 100 000 habitants,Taux par 100 000 habitants
2019,63.83,Taux par 100 000 habitants,Taux par 100 000 habitants
2020,35.4,Taux par 100 000 habitants,Taux par 100 000 habitants
2015,18094.0,Nombre,Nombre
2016,95351.0,Nombre,Nombre
2017,72317.0,Nombre,Nombre
2018,16268.0,Nombre,Nombre
2019,24001.0,Nombre,Nombre
2020,13454.0,Nombre,Nombre
