Year,Value,Units
2015,0.024,Pourcentage (%)
2016,0.2503,Pourcentage (%)
2017,0.025,Pourcentage (%)
2018,0.064,Pourcentage (%)
2019,0.007,Pourcentage (%)
2020,0.0,Pourcentage (%)
