Year,Value,Series
2019,0.27,APD en pourcentage du RNB
2020,0.31,APD en pourcentage du RNB
2021,0.32,APD en pourcentage du RNB
2019,0.09,"APD totale aux PMA, en pourcentage du RNB"
2020,0.09,"APD totale aux PMA, en pourcentage du RNB"
