Year,Value,Units,Series
2018,0.28,Pourcentage (%),Aide publique au développement (APD)
2019,0.27,Pourcentage (%),Aide publique au développement (APD)
2020,0.31,Pourcentage (%),Aide publique au développement (APD)
2021,0.32,Pourcentage (%),Aide publique au développement (APD)
2022,0.37,Pourcentage (%),Aide publique au développement (APD)
