Year,Series,Value
2019,ODA as a share of GNI,0.27
2020,ODA as a share of GNI,0.31
2021,ODA as a share of GNI,0.32
2019,Total ODA to least developed countries as a share of GNI,0.09
2020,Total ODA to least developed countries as a share of GNI,0.09
