Year,Geography,Age,Gender,GeoCode,Value
2018,Canada,15 to 24 years,"Total, gender",,3.14
2018,Canada,15 to 24 years,Male gender,,1.33
2018,Canada,15 to 24 years,Female gender,,5.1
2018,Canada,25 to 34 years,"Total, gender",,5.33
2018,Canada,25 to 34 years,Male gender,,2.2
2018,Canada,25 to 34 years,Female gender,,8.51
2018,Nova Scotia,25 to 34 years,"Total, gender",12,7.22
2018,Nova Scotia,25 to 34 years,Female gender,12,12.24
2018,Quebec,25 to 34 years,"Total, gender",24,4.26
2018,Quebec,25 to 34 years,Male gender,24,2.47
2018,Quebec,25 to 34 years,Female gender,24,6.07
2018,Ontario,15 to 24 years,"Total, gender",35,3.54
2018,Ontario,15 to 24 years,Female gender,35,6.27
2018,Ontario,25 to 34 years,"Total, gender",35,4.45
2018,Ontario,25 to 34 years,Male gender,35,1.38
2018,Ontario,25 to 34 years,Female gender,35,7.5
2018,Manitoba,15 to 24 years,"Total, gender",46,5.1
2018,Manitoba,25 to 34 years,"Total, gender",46,6.18
2018,Manitoba,25 to 34 years,Female gender,46,11.4
2018,Saskatchewan,15 to 24 years,"Total, gender",47,3.36
2018,Saskatchewan,15 to 24 years,Female gender,47,5.76
2018,Saskatchewan,25 to 34 years,"Total, gender",47,3.88
2018,Saskatchewan,25 to 34 years,Female gender,47,7.27
2018,Alberta,15 to 24 years,"Total, gender",48,2.76
2018,Alberta,15 to 24 years,Female gender,48,5.68
2018,Alberta,25 to 34 years,"Total, gender",48,7.04
2018,Alberta,25 to 34 years,Female gender,48,12.66
2018,British Columbia,15 to 24 years,"Total, gender",59,2.72
2018,British Columbia,25 to 34 years,"Total, gender",59,7.95
2018,British Columbia,25 to 34 years,Male gender,59,5.67
2018,British Columbia,25 to 34 years,Female gender,59,10.31
2018,Yukon,25 to 34 years,"Total, gender",60,11.87
2018,Yukon,25 to 34 years,Female gender,60,13.73
2018,Northwest Territories,25 to 34 years,"Total, gender",61,10.79
2018,Northwest Territories,25 to 34 years,Female gender,61,14.2
2018,Nunavut,25 to 34 years,"Total, gender",62,13.24
2018,Nunavut,25 to 34 years,Female gender,62,19.94
