Year,Geography,Type of work,Occupation,Sex,Age group,GeoCode,Value
2015,Canada,Both full- and part-time employees,"Health occupations, except management",Females,15 to 24 years,,20.78
2015,Canada,Both full- and part-time employees,"Health occupations, except management",Females,25 to 54 years,,29.73
2015,Canada,Both full- and part-time employees,"Health occupations, except management",Females,55 years and over,,30.99
2015,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,15 years and over,,31.55
2015,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,15 to 24 years,,17.49
2015,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,25 to 54 years,,32.4
2015,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,55 years and over,,33.8
2015,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Males,15 years and over,,36.52
2015,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Males,15 to 24 years,,18.74
2015,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Males,25 to 54 years,,36.81
2015,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Males,55 years and over,,41.12
2015,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Females,15 years and over,,29.25
2015,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Females,15 to 24 years,,17.04
2015,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Females,25 to 54 years,,30.39
2015,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Females,55 years and over,,29.73
2015,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,15 years and over,,23.41
2015,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,15 to 24 years,,15.58
2015,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,25 to 54 years,,26.72
