Year,Geography,Type of work,Occupation,Sex,Age group,GeoCode,Value
2016,Canada,Both full- and part-time employees,"Business, finance and administration occupations, except management",Both sexes,25 to 54 years,,27.45
2016,Canada,Both full- and part-time employees,"Business, finance and administration occupations, except management",Both sexes,55 years and over,,27.94
2016,Canada,Both full- and part-time employees,"Business, finance and administration occupations, except management",Males,15 years and over,,29.66
2016,Canada,Both full- and part-time employees,"Business, finance and administration occupations, except management",Males,15 to 24 years,,16.89
2016,Canada,Both full- and part-time employees,"Business, finance and administration occupations, except management",Males,25 to 54 years,,30.8
2016,Canada,Both full- and part-time employees,"Business, finance and administration occupations, except management",Males,55 years and over,,32.57
2016,Canada,Both full- and part-time employees,"Business, finance and administration occupations, except management",Females,15 years and over,,25.51
2016,Canada,Both full- and part-time employees,"Business, finance and administration occupations, except management",Females,15 to 24 years,,17.07
2016,Canada,Both full- and part-time employees,"Business, finance and administration occupations, except management",Females,25 to 54 years,,26.18
2016,Canada,Both full- and part-time employees,"Business, finance and administration occupations, except management",Females,55 years and over,,26.4
2016,Canada,Both full- and part-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,15 years and over,,36.23
2016,Canada,Both full- and part-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,15 to 24 years,,21.89
2016,Canada,Both full- and part-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,25 to 54 years,,36.55
2016,Canada,Both full- and part-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,55 years and over,,41.2
2016,Canada,Both full- and part-time employees,"Natural and applied sciences and related occupations, except management",Males,15 years and over,,37.13
2016,Canada,Both full- and part-time employees,"Natural and applied sciences and related occupations, except management",Males,15 to 24 years,,22.27
2016,Canada,Both full- and part-time employees,"Natural and applied sciences and related occupations, except management",Males,25 to 54 years,,37.38
2016,Canada,Both full- and part-time employees,"Natural and applied sciences and related occupations, except management",Males,55 years and over,,41.89
2016,Canada,Both full- and part-time employees,"Natural and applied sciences and related occupations, except management",Females,15 years and over,,33.35
2016,Canada,Both full- and part-time employees,"Natural and applied sciences and related occupations, except management",Females,15 to 24 years,,20.97
2016,Canada,Both full- and part-time employees,"Natural and applied sciences and related occupations, except management",Females,25 to 54 years,,33.99
2016,Canada,Both full- and part-time employees,"Natural and applied sciences and related occupations, except management",Females,55 years and over,,37.96
2016,Canada,Both full- and part-time employees,"Health occupations, except management",Both sexes,15 years and over,,29.81
2016,Canada,Both full- and part-time employees,"Health occupations, except management",Both sexes,15 to 24 years,,21.38
2016,Canada,Both full- and part-time employees,"Health occupations, except management",Both sexes,25 to 54 years,,30.41
2016,Canada,Both full- and part-time employees,"Health occupations, except management",Both sexes,55 years and over,,31.49
2016,Canada,Both full- and part-time employees,"Health occupations, except management",Males,15 years and over,,32.46
2016,Canada,Both full- and part-time employees,"Health occupations, except management",Males,15 to 24 years,,20.71
2016,Canada,Both full- and part-time employees,"Health occupations, except management",Males,25 to 54 years,,32.75
2016,Canada,Both full- and part-time employees,"Health occupations, except management",Males,55 years and over,,37.28
2016,Canada,Both full- and part-time employees,"Health occupations, except management",Females,15 years and over,,29.36
2016,Canada,Both full- and part-time employees,"Health occupations, except management",Females,15 to 24 years,,21.5
2016,Canada,Both full- and part-time employees,"Health occupations, except management",Females,25 to 54 years,,30.0
2016,Canada,Both full- and part-time employees,"Health occupations, except management",Females,55 years and over,,30.53
2016,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,15 years and over,,32.15
2016,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,15 to 24 years,,18.26
2016,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,25 to 54 years,,32.91
2016,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,55 years and over,,35.13
2016,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Males,15 years and over,,37.35
2016,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Males,15 to 24 years,,19.69
2016,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Males,25 to 54 years,,37.79
2016,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Males,55 years and over,,42.4
2016,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Females,15 years and over,,29.79
2016,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Females,15 to 24 years,,17.69
2016,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Females,25 to 54 years,,30.72
2016,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services, except management",Females,55 years and over,,31.41
2016,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,15 years and over,,23.6
2016,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,15 to 24 years,,15.79
2016,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,25 to 54 years,,27.08
2016,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,55 years and over,,28.75
2016,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Males,15 years and over,,24.5
2016,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Males,15 to 24 years,,16.15
2016,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Males,25 to 54 years,,27.56
2016,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Males,55 years and over,,31.26
2016,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Females,15 years and over,,22.86
2016,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Females,15 to 24 years,,15.51
2016,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Females,25 to 54 years,,26.65
2016,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Females,55 years and over,,26.77
2016,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Both sexes,15 years and over,,17.29
2016,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Both sexes,15 to 24 years,,12.63
2016,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Both sexes,25 to 54 years,,19.64
2016,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Both sexes,55 years and over,,18.86
2016,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Males,15 years and over,,19.07
2016,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Males,15 to 24 years,,12.72
2016,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Males,25 to 54 years,,22.16
2016,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Males,55 years and over,,21.37
2016,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Females,15 years and over,,15.89
2016,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Females,15 to 24 years,,12.56
2016,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Females,25 to 54 years,,17.67
2016,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Females,55 years and over,,16.78
2016,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,15 years and over,,25.79
2016,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,15 to 24 years,,18.78
2016,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,25 to 54 years,,27.22
2016,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,55 years and over,,25.56
2016,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,15 years and over,,26.25
2016,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,15 to 24 years,,18.98
2016,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,25 to 54 years,,27.72
2016,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,55 years and over,,26.18
2016,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,15 years and over,,20.39
2016,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,15 to 24 years,,15.68
2016,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,25 to 54 years,,21.38
2016,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,55 years and over,,19.47
2016,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,15 years and over,,23.72
2016,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,15 to 24 years,,16.16
2016,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,25 to 54 years,,27.17
2016,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,55 years and over,,23.73
2016,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Males,15 years and over,,25.11
2016,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Males,15 to 24 years,,16.84
2016,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Males,25 to 54 years,,28.53
2016,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Males,55 years and over,,25.2
2016,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Females,15 years and over,,17.21
2016,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Females,15 to 24 years,,13.9
2016,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Females,25 to 54 years,,19.9
2016,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Females,55 years and over,,15.73
2016,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,15 years and over,,21.96
2016,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,15 to 24 years,,16.79
2016,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,25 to 54 years,,22.76
2016,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,55 years and over,,21.98
2016,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Males,15 years and over,,23.71
2016,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Males,15 to 24 years,,17.15
2016,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Males,25 to 54 years,,24.74
2016,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Males,55 years and over,,24.06
2016,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Females,15 years and over,,17.54
2016,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Females,15 to 24 years,,15.37
2016,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Females,25 to 54 years,,17.91
2016,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Females,55 years and over,,17.16
2016,Canada,Full-time employees,"Total employees, all occupations",Both sexes,15 years and over,,28.21
2016,Canada,Full-time employees,"Total employees, all occupations",Both sexes,15 to 24 years,,17.3
2016,Canada,Full-time employees,"Total employees, all occupations",Both sexes,25 to 54 years,,29.37
2016,Canada,Full-time employees,"Total employees, all occupations",Both sexes,55 years and over,,29.52
2016,Canada,Full-time employees,"Total employees, all occupations",Males,15 years and over,,29.89
2016,Canada,Full-time employees,"Total employees, all occupations",Males,15 to 24 years,,17.85
2016,Canada,Full-time employees,"Total employees, all occupations",Males,25 to 54 years,,31.19
2016,Canada,Full-time employees,"Total employees, all occupations",Males,55 years and over,,31.61
2016,Canada,Full-time employees,"Total employees, all occupations",Females,15 years and over,,26.21
2016,Canada,Full-time employees,"Total employees, all occupations",Females,15 to 24 years,,16.57
2016,Canada,Full-time employees,"Total employees, all occupations",Females,25 to 54 years,,27.25
2016,Canada,Full-time employees,"Total employees, all occupations",Females,55 years and over,,26.9
2016,Canada,Full-time employees,Management occupations,Both sexes,15 years and over,,45.06
2016,Canada,Full-time employees,Management occupations,Both sexes,15 to 24 years,,19.27
2016,Canada,Full-time employees,Management occupations,Both sexes,25 to 54 years,,44.4
2016,Canada,Full-time employees,Management occupations,Both sexes,55 years and over,,49.78
2016,Canada,Full-time employees,Management occupations,Males,15 years and over,,47.86
2016,Canada,Full-time employees,Management occupations,Males,15 to 24 years,,20.66
2016,Canada,Full-time employees,Management occupations,Males,25 to 54 years,,47.08
2016,Canada,Full-time employees,Management occupations,Males,55 years and over,,52.5
2016,Canada,Full-time employees,Management occupations,Females,15 years and over,,40.77
2016,Canada,Full-time employees,Management occupations,Females,15 to 24 years,,17.99
2016,Canada,Full-time employees,Management occupations,Females,25 to 54 years,,40.31
2016,Canada,Full-time employees,Management occupations,Females,55 years and over,,45.29
2016,Canada,Full-time employees,"Business, finance and administration occupations, except management",Both sexes,15 years and over,,27.4
2016,Canada,Full-time employees,"Business, finance and administration occupations, except management",Both sexes,15 to 24 years,,18.26
2016,Canada,Full-time employees,"Business, finance and administration occupations, except management",Both sexes,25 to 54 years,,27.93
2016,Canada,Full-time employees,"Business, finance and administration occupations, except management",Both sexes,55 years and over,,28.56
2016,Canada,Full-time employees,"Business, finance and administration occupations, except management",Males,15 years and over,,30.49
2016,Canada,Full-time employees,"Business, finance and administration occupations, except management",Males,15 to 24 years,,18.35
2016,Canada,Full-time employees,"Business, finance and administration occupations, except management",Males,25 to 54 years,,31.17
2016,Canada,Full-time employees,"Business, finance and administration occupations, except management",Males,55 years and over,,32.94
2016,Canada,Full-time employees,"Business, finance and administration occupations, except management",Females,15 years and over,,26.14
2016,Canada,Full-time employees,"Business, finance and administration occupations, except management",Females,15 to 24 years,,18.21
2016,Canada,Full-time employees,"Business, finance and administration occupations, except management",Females,25 to 54 years,,26.62
2016,Canada,Full-time employees,"Business, finance and administration occupations, except management",Females,55 years and over,,26.88
2016,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,15 years and over,,36.42
2016,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,15 to 24 years,,22.38
2016,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,25 to 54 years,,36.65
2016,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,55 years and over,,41.26
2016,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Males,15 years and over,,37.3
2016,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Males,15 to 24 years,,22.54
2016,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Males,25 to 54 years,,37.45
2016,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Males,55 years and over,,42.15
2016,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Females,15 years and over,,33.55
2016,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Females,15 to 24 years,,21.95
2016,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Females,25 to 54 years,,34.11
2016,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Females,55 years and over,,37.02
2016,Canada,Full-time employees,"Health occupations, except management",Both sexes,15 years and over,,30.35
2016,Canada,Full-time employees,"Health occupations, except management",Both sexes,15 to 24 years,,22.67
2016,Canada,Full-time employees,"Health occupations, except management",Both sexes,25 to 54 years,,30.9
2016,Canada,Full-time employees,"Health occupations, except management",Both sexes,55 years and over,,31.36
2016,Canada,Full-time employees,"Health occupations, except management",Males,15 years and over,,32.72
2016,Canada,Full-time employees,"Health occupations, except management",Males,15 to 24 years,,21.51
2016,Canada,Full-time employees,"Health occupations, except management",Males,25 to 54 years,,33.21
2016,Canada,Full-time employees,"Health occupations, except management",Males,55 years and over,,35.16
2016,Canada,Full-time employees,"Health occupations, except management",Females,15 years and over,,29.89
2016,Canada,Full-time employees,"Health occupations, except management",Females,15 to 24 years,,22.87
2016,Canada,Full-time employees,"Health occupations, except management",Females,25 to 54 years,,30.44
2016,Canada,Full-time employees,"Health occupations, except management",Females,55 years and over,,30.65
2016,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,15 years and over,,33.43
2016,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,15 to 24 years,,18.69
2016,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,25 to 54 years,,33.75
2016,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,55 years and over,,37.09
2016,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Males,15 years and over,,38.3
2016,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Males,15 to 24 years,,21.09
2016,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Males,25 to 54 years,,38.21
2016,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Males,55 years and over,,43.19
2016,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Females,15 years and over,,30.95
2016,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Females,15 to 24 years,,17.81
2016,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Females,25 to 54 years,,31.51
2016,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Females,55 years and over,,33.41
2016,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,15 years and over,,26.42
2016,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,15 to 24 years,,17.17
2016,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,25 to 54 years,,27.91
2016,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,55 years and over,,31.4
2016,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Males,15 years and over,,27.08
2016,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Males,15 to 24 years,,17.81
2016,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Males,25 to 54 years,,28.17
2016,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Males,55 years and over,,33.29
2016,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Females,15 years and over,,25.76
2016,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Females,15 to 24 years,,16.61
2016,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Females,25 to 54 years,,27.65
2016,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Females,55 years and over,,29.4
2016,Canada,Full-time employees,"Sales and service occupations, except management",Both sexes,15 years and over,,19.54
2016,Canada,Full-time employees,"Sales and service occupations, except management",Both sexes,15 to 24 years,,13.79
2016,Canada,Full-time employees,"Sales and service occupations, except management",Both sexes,25 to 54 years,,20.75
2016,Canada,Full-time employees,"Sales and service occupations, except management",Both sexes,55 years and over,,20.46
2016,Canada,Full-time employees,"Sales and service occupations, except management",Males,15 years and over,,21.54
2016,Canada,Full-time employees,"Sales and service occupations, except management",Males,15 to 24 years,,13.95
2016,Canada,Full-time employees,"Sales and service occupations, except management",Males,25 to 54 years,,23.03
2016,Canada,Full-time employees,"Sales and service occupations, except management",Males,55 years and over,,22.9
2016,Canada,Full-time employees,"Sales and service occupations, except management",Females,15 years and over,,17.67
2016,Canada,Full-time employees,"Sales and service occupations, except management",Females,15 to 24 years,,13.65
2016,Canada,Full-time employees,"Sales and service occupations, except management",Females,25 to 54 years,,18.64
2016,Canada,Full-time employees,"Sales and service occupations, except management",Females,55 years and over,,17.96
2016,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,15 years and over,,26.35
2016,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,15 to 24 years,,19.54
2016,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,25 to 54 years,,27.49
2016,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,55 years and over,,26.46
2016,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,15 years and over,,26.72
2016,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,15 to 24 years,,19.68
2016,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,25 to 54 years,,27.88
2016,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,55 years and over,,27.03
2016,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,15 years and over,,21.23
2016,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,15 to 24 years,,16.71
2016,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,25 to 54 years,,22.27
2016,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,55 years and over,,19.42
2016,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,15 years and over,,24.83
2016,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,15 to 24 years,,17.0
2016,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,25 to 54 years,,27.73
2016,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,55 years and over,,24.65
2016,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Males,15 years and over,,26.04
2016,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Males,15 to 24 years,,17.61
2016,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Males,25 to 54 years,,28.87
2016,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Males,55 years and over,,26.21
2016,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Females,15 years and over,,18.02
2016,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Females,15 to 24 years,,14.39
2016,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Females,25 to 54 years,,20.74
2016,Canada,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Females,55 years and over,,14.72
2016,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,15 years and over,,22.22
2016,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,15 to 24 years,,17.1
2016,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,25 to 54 years,,22.93
2016,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,55 years and over,,22.21
2016,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Males,15 years and over,,23.93
2016,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Males,15 to 24 years,,17.46
2016,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Males,25 to 54 years,,24.86
2016,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Males,55 years and over,,24.17
2016,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Females,15 years and over,,17.76
2016,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Females,15 to 24 years,,15.52
2016,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Females,25 to 54 years,,18.07
2016,Canada,Full-time employees,"Occupations in manufacturing and utilities, except management",Females,55 years and over,,17.43
2016,Canada,Part-time employees,"Total employees, all occupations",Both sexes,15 years and over,,18.4
2016,Canada,Part-time employees,"Total employees, all occupations",Both sexes,15 to 24 years,,13.07
2016,Canada,Part-time employees,"Total employees, all occupations",Both sexes,25 to 54 years,,21.85
2016,Canada,Part-time employees,"Total employees, all occupations",Both sexes,55 years and over,,22.82
2016,Canada,Part-time employees,"Total employees, all occupations",Males,15 years and over,,17.55
2016,Canada,Part-time employees,"Total employees, all occupations",Males,15 to 24 years,,13.03
2016,Canada,Part-time employees,"Total employees, all occupations",Males,25 to 54 years,,21.89
2016,Canada,Part-time employees,"Total employees, all occupations",Males,55 years and over,,23.87
2016,Canada,Part-time employees,"Total employees, all occupations",Females,15 years and over,,18.82
2016,Canada,Part-time employees,"Total employees, all occupations",Females,15 to 24 years,,13.1
2016,Canada,Part-time employees,"Total employees, all occupations",Females,25 to 54 years,,21.84
2016,Canada,Part-time employees,"Total employees, all occupations",Females,55 years and over,,22.32
2016,Canada,Part-time employees,Management occupations,Both sexes,15 years and over,,34.89
2016,Canada,Part-time employees,Management occupations,Both sexes,15 to 24 years,,
2016,Canada,Part-time employees,Management occupations,Both sexes,25 to 54 years,,32.34
2016,Canada,Part-time employees,Management occupations,Both sexes,55 years and over,,40.4
2016,Canada,Part-time employees,Management occupations,Males,15 years and over,,41.79
2016,Canada,Part-time employees,Management occupations,Males,15 to 24 years,,
2016,Canada,Part-time employees,Management occupations,Males,25 to 54 years,,39.54
2016,Canada,Part-time employees,Management occupations,Males,55 years and over,,45.39
2016,Canada,Part-time employees,Management occupations,Females,15 years and over,,30.72
2016,Canada,Part-time employees,Management occupations,Females,15 to 24 years,,
2016,Canada,Part-time employees,Management occupations,Females,25 to 54 years,,29.74
2016,Canada,Part-time employees,Management occupations,Females,55 years and over,,35.43
2016,Canada,Part-time employees,"Business, finance and administration occupations, except management",Both sexes,15 years and over,,21.63
2016,Canada,Part-time employees,"Business, finance and administration occupations, except management",Both sexes,15 to 24 years,,14.44
2016,Canada,Part-time employees,"Business, finance and administration occupations, except management",Both sexes,25 to 54 years,,22.44
2016,Canada,Part-time employees,"Business, finance and administration occupations, except management",Both sexes,55 years and over,,25.4
2016,Canada,Part-time employees,"Business, finance and administration occupations, except management",Males,15 years and over,,20.14
2016,Canada,Part-time employees,"Business, finance and administration occupations, except management",Males,15 to 24 years,,13.84
2016,Canada,Part-time employees,"Business, finance and administration occupations, except management",Males,25 to 54 years,,20.93
2016,Canada,Part-time employees,"Business, finance and administration occupations, except management",Males,55 years and over,,29.57
2016,Canada,Part-time employees,"Business, finance and administration occupations, except management",Females,15 years and over,,21.93
2016,Canada,Part-time employees,"Business, finance and administration occupations, except management",Females,15 to 24 years,,14.74
2016,Canada,Part-time employees,"Business, finance and administration occupations, except management",Females,25 to 54 years,,22.62
2016,Canada,Part-time employees,"Business, finance and administration occupations, except management",Females,55 years and over,,24.71
2016,Canada,Part-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,15 years and over,,30.37
2016,Canada,Part-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,15 to 24 years,,18.51
2016,Canada,Part-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,25 to 54 years,,31.51
2016,Canada,Part-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,55 years and over,,40.25
2016,Canada,Part-time employees,"Natural and applied sciences and related occupations, except management",Males,15 years and over,,30.73
2016,Canada,Part-time employees,"Natural and applied sciences and related occupations, except management",Males,15 to 24 years,,20.05
2016,Canada,Part-time employees,"Natural and applied sciences and related occupations, except management",Males,25 to 54 years,,31.95
2016,Canada,Part-time employees,"Natural and applied sciences and related occupations, except management",Males,55 years and over,,37.52
2016,Canada,Part-time employees,"Natural and applied sciences and related occupations, except management",Females,15 years and over,,29.84
2016,Canada,Part-time employees,"Natural and applied sciences and related occupations, except management",Females,15 to 24 years,,16.13
2016,Canada,Part-time employees,"Natural and applied sciences and related occupations, except management",Females,25 to 54 years,,31.11
2016,Canada,Part-time employees,"Natural and applied sciences and related occupations, except management",Females,55 years and over,,51.44
2016,Canada,Part-time employees,"Health occupations, except management",Both sexes,15 years and over,,28.0
2016,Canada,Part-time employees,"Health occupations, except management",Both sexes,15 to 24 years,,18.78
2016,Canada,Part-time employees,"Health occupations, except management",Both sexes,25 to 54 years,,28.46
2016,Canada,Part-time employees,"Health occupations, except management",Both sexes,55 years and over,,31.8
2016,Canada,Part-time employees,"Health occupations, except management",Males,15 years and over,,30.85
2016,Canada,Part-time employees,"Health occupations, except management",Males,15 to 24 years,,19.14
2016,Canada,Part-time employees,"Health occupations, except management",Males,25 to 54 years,,28.49
