Year,Series,Units,Value
2016,Evolved High-Speed Packet Access (HSPA+),Percentage,99.5
2017,Evolved High-Speed Packet Access (HSPA+),Percentage,99.5
2018,Evolved High-Speed Packet Access (HSPA+),Percentage,99.5
2019,Evolved High-Speed Packet Access (HSPA+),Percentage,99.5
2020,Evolved High-Speed Packet Access (HSPA+),Percentage,99.5
2021,Evolved High-Speed Packet Access (HSPA+),Percentage,99.5
2016,Long-Term Evolution (LTE),Percentage,98.6
2017,Long-Term Evolution (LTE),Percentage,99.1
2018,Long-Term Evolution (LTE),Percentage,99.3
2019,Long-Term Evolution (LTE),Percentage,99.5
2020,Long-Term Evolution (LTE),Percentage,99.5
2021,Long-Term Evolution (LTE),Percentage,99.4
2016,Long-Term Evolution - A (LTE-A),Percentage,83.4
2017,Long-Term Evolution - A (LTE-A),Percentage,92.4
2018,Long-Term Evolution - A (LTE-A),Percentage,94.9
2019,Long-Term Evolution - A (LTE-A),Percentage,95.9
2020,Long-Term Evolution - A (LTE-A),Percentage,97.5
2021,Long-Term Evolution - A (LTE-A),Percentage,97.8
2016,5G,Percentage,0.0
2017,5G,Percentage,0.0
2018,5G,Percentage,0.0
2019,5G,Percentage,0.0
2020,5G,Percentage,53.3
2021,5G,Percentage,87.8
