Year,Value,Units,Series
2020,4.0,Percentage,Number of (shared) basins showing high surface-water extent changes
2015,1.0,Percentage,Number of (shared) basins showing high surface-water extent changes
2020,57.0,Number,Number of (shared) basins showing high surface-water extent changes
2015,18.0,Number,Number of (shared) basins showing high surface-water extent changes
2016/18 (baseline),806938.0,Square kilometers,Wetlands area
2016/18 (baseline),8.17,Percentage,Wetlands area
2017/19,17.0,Number,"Lake water quality, turbidity"
2017/19,11.0,Percentage,"Lake water quality, turbidity"
2017/19,61.0,Number,"Lake water quality, trophic state"
2017/19,39.0,Percentage,"Lake water quality, trophic state"
2017/19,13.0,Number,"Lake water quality, trophic state and turbidity"
2017/19,8.0,Percentage,"Lake water quality, trophic state and turbidity"
2017/19,66.0,Number,"Lake water quality, no or improving condition"
2017/19,42.0,Percentage,"Lake water quality, no or improving condition"
