Year,Value,Units,Series
2018,0.28,Percentage (%),Official Development Assistance (ODA)
2019,0.27,Percentage (%),Official Development Assistance (ODA)
2020,0.31,Percentage (%),Official Development Assistance (ODA)
2021,0.32,Percentage (%),Official Development Assistance (ODA)
2022,0.37,Percentage (%),Official Development Assistance (ODA)
