Value,Disaggregation combinations using this value,Number of indicators
All persons,40,2
"Females, 18 to 64 years",42,2
"Females, 65 years and over",42,2
"Females, under 18 years",42,2
Females,42,2
"Males, 18 to 64 years",42,2
"Males, 65 years and over",42,2
"Males, under 18 years",42,2
Males,42,2
Persons 18 to 64 years,42,2
Persons 65 years and over,42,2
Persons under 18 years,42,2
