Value,Disaggregation combinations using this value,Number of indicators
Bisexual or pansexual,33,1
Bisexual,2,1
Heterosexual,127,2
Lesbian or gay,29,2
"Not stated, sexual orientation",46,1
Sexual minority,63,1
Sexual orientation not elsewhere classified,2,1
"Total, sexual orientation",125,1
