Value,Disaggregation combinations using this value,Number of indicators
Living common law,28,1
Married or common-law,2,1
Married or in a union,1,1
Married or living common law,28,1
Married,28,1
"Separated, divorced, or widowed",2,1
"Single, never married",2,1
Unmarried,1,1
