Value,Disaggregation combinations using this value,Number of indicators
Below upper secondary,756,1
Lower secondary,252,1
Pre-primary and primary,252,1
Tertiary education,1008,2
"Total, all education levels",755,1
Upper secondary and post-secondary non-tertiary,1008,2
