Indicator,Disaggregation combinations using this value
#3-2-2,23
#3-4-1,203
#3-4-2,13
#3-6-1,65
#3-a-1,46
#4-1-2,336
#4-6-1,336
#8-5-1,1451
#8-5-2,241
#8-6-1,1007
