Value,Disaggregation combinations using this value,Number of indicators
All quintiles,1,1
Fourth decile,1,1
Lowest decile,1,1
Lowest quintile,1,1
Second decile,1,1
Second quintile,1,1
Third decile,1,1
Total deciles,1,1
