Value,Disaggregation combinations using this value,Number of indicators
Agriculture,14,1
Buildings,14,1
Coal Production,14,1
Electricity,14,1
Heavy Industry,14,1
"Light Manufacturing, Construction and Forest Resources",14,1
Oil and Gas,14,1
Provincial Inventory Total,10,1
Territorial Inventory Total,3,1
Transport,14,1
Waste,14,1
