Value,Disaggregation combinations using this value,Number of indicators
Any tobacco product,17,1
Chewing tobacco,8,1
Cigarettes,18,1
Cigars,13,1
E-cigarettes,8,1
Little cigars or cigarillos,18,1
Pipe,8,1
Smokeless tobacco,5,1
Vaping,18,1
Water pipe with tobacco,9,1
