Value,Disaggregation combinations using this value,Number of indicators
"Food insecure, marginal",260,1
"Food insecure, moderate or severe",260,1
"Food insecure, moderate",260,1
"Food insecure, severe",260,1
Food insecure,260,1
Food secure,260,1
