Indicator,Disaggregation combinations using this value
#1-2-1,11
#10-2-1,11
#11-4-1,10
#12-4-2,8
#12-5-1,45
#13-2-2,9
#15-a-1,1
#16-1-1,8
#17-8-1,4
#3-4-2,3
#3-5-2,1
#3-7-2,1
#3-c-1,33
#4-1-2,72
#4-3-1,16
#4-5-1,11
#4-6-1,72
#5-3-1,6
#5-4-1,80
#5-5-1,4
#5-5-2,4
#6-3-2,27
#7-2-1,5
#8-5-1,395
#8-5-2,65
#8-6-1,215
#9-2-2,304
#9-5-1,2
