Value,Disaggregation combinations using this value,Number of indicators
Broadcasting and publishing services,15,1
Cultural services,15,1
Protection of biodiversity and landscape,15,1
"Recreation, culture, and religion not elsewhere classified",15,1
Total cultural and natural heritage,15,1
