Value,Disaggregation combinations using this value,Number of indicators
Arab,8,1
Black,8,1
Chinese,8,1
Filipino,8,1
Latin American,8,1
Not a visible minority,8,1
South Asian,8,1
Southeast Asian,8,1
Total visible minority population,8,1
Total visible minority,8,1
