Value,Disaggregation combinations using this value,Number of indicators
Hydraulic turbine,12,1
Other types of electricity generation,8,1
Solar,9,1
Tidal power turbine,2,1
"Total hydro, tidal, wind, solar and other generation",12,1
Wind power turbine,13,1
