Value,Disaggregation combinations using this value,Number of indicators
Arab,1,1
Black,1,1
Chinese,1,1
Filipino,1,1
Latin American,1,1
Not a visible minority,1,1
South Asian,1,1
Southeast Asian,1,1
Total visible minority,1,1
