Indicator
#11-7-2
#16-2-3
#3-2-2
#3-3-2
#3-3-3
#3-3-4
#3-3-5
#3-4-1
#3-4-2
#3-6-1
#3-a-1
#4-1-1
#4-1-2
#4-2-2
#4-6-1
#5-4-1
#8-5-1
#8-5-2
#8-6-1
#8-8-1
