Indicator,Disaggregation combinations using this value
#1-4-1,2
#1-4-2,3
#10-4-1,1
#11-2-1,6
#11-4-1,5
#13-2-2,10
#15-a-1,1
#16-1-1,9
#17-6-1,4
#3-2-1,1
#3-4-2,3
#3-5-2,1
#3-7-2,1
#3-c-1,34
#4-1-2,72
#4-3-1,16
#4-5-1,5
#4-6-1,72
#5-3-1,6
#5-5-1,2
#7-2-1,5
#8-1-1,1
#8-6-1,216
#9-1-1,1
#9-2-1,2
#9-2-2,109
#9-b-1,1
