Indicator
#1-2-1
#1-3-1
#1-4-2
#10-2-1
#10-4-1
#11-1-1
#11-2-1
#11-3-1
#11-4-1
#11-6-1
#12-4-2
#12-5-1
#13-2-2
#15-a-1
#16-1-1
#17-8-1
#3-2-1
#3-4-2
#3-5-2
#3-7-2
#3-c-1
#4-1-2
#4-3-1
#4-5-1
#4-6-1
#5-3-1
#5-4-1
#5-5-1
#5-5-2
#5-b-1
#6-3-1
#6-3-2
#7-2-1
#8-1-1
#8-5-1
#8-5-2
#8-6-1
#9-2-1
#9-2-2
#9-3-2
#9-5-1
#9-b-1
