Indicator,Disaggregation combinations using this value
#1-2-1,12
#1-3-1,1
#1-4-1,2
#10-2-1,12
#10-4-1,1
#11-1-1,7
#11-4-1,3
#11-6-1,3
#13-2-2,10
#15-a-1,1
#16-1-1,9
#16-2-1,132
#17-6-1,5
#17-8-1,5
#2-1-2,120
#3-1-2,1
#3-2-1,1
#3-2-2,1
#3-4-2,3
#3-5-2,1
#3-7-2,1
#3-c-1,34
#4-1-2,6
#4-3-1,16
#4-5-1,11
#4-6-1,72
#5-3-1,6
#5-5-1,2
#5-5-2,5
#5-b-1,1
#6-3-1,1
#7-2-1,7
#8-1-1,1
#8-2-1,1
#8-5-1,396
#8-5-2,66
#8-6-1,35
#9-1-1,1
#9-2-1,2
#9-2-2,109
#9-5-1,1
#9-b-1,1
