Value,Disaggregation combinations using this value,Number of indicators
All materials diverted,35,1
All paper fibres,36,1
"Construction, renovation and demolition",36,1
Copper and aluminum,36,1
Electronics,36,1
Ferrous metals,36,1
Gable top and aseptic containers,36,1
Glass,36,1
Mixed metals,36,1
Organics,36,1
Other materials,36,1
Plastics,36,1
Textiles,36,1
Tires,36,1
White goods,36,1
