Value,Disaggregation combinations using this value,Number of indicators
Agriculture,24,1
Forestry,24,1
Mining,24,1
Mixed pressures,24,1
Mixed Pressures,4,1
Populated,24,1
Total,23,1
Undeveloped,24,1
