Year,Value,Units,Series
1971/91,578.93,Rate of growth,Land Consumption Rate
1991/01,1353.09,Rate of growth,Land Consumption Rate
2001/11,1454.46,Rate of growth,Land Consumption Rate
1971/91,0.014,Rate of growth,Population Growth Rate
1991/01,0.012,Rate of growth,Population Growth Rate
2001/11,0.014,Rate of growth,Population Growth Rate
1971/91,40488.42,Ratio,Ratio of land consumption rate to population growth rate
1991/01,111404.49,Ratio,Ratio of land consumption rate to population growth rate
2001/11,100656.0,Ratio,Ratio of land consumption rate to population growth rate
