Year,Value,Series
2019,0.27,ODA as a share of GNI
2020,0.31,ODA as a share of GNI
2021,0.32,ODA as a share of GNI
2019,0.09,Total ODA to least developed countries as a share of GNI
2020,0.09,Total ODA to least developed countries as a share of GNI
