Year,Value,Units,GeoCode
2015,11.49,Percentage (%),
2016,11.2,Percentage (%),
2017,11.29,Percentage (%),
2018,11.54,Percentage (%),
2019,11.11,Percentage (%),
2020,10.63,Percentage (%),
2021,11.62,Percentage (%),
2022,11.51,Percentage (%),
2015,6405.71,Dollar,
2016,6284.03,Dollar,
2017,6611.11,Dollar,
2018,6958.42,Dollar,
2019,6833.93,Dollar,
2020,6206.95,Dollar,
2021,7648.24,Dollar,
2022,8317.37,Dollar,
