Year,Value,Units
2015,0.024,Percentage (%)
2016,0.2503,Percentage (%)
2017,0.025,Percentage (%)
2018,0.064,Percentage (%)
2019,0.007,Percentage (%)
2020,0.0,Percentage (%)
