Year,Géographie,Graduation rate,Genre,GeoCode,Value
2017/2018,Terre-Neuve-et-Labrador,On-time,Total,10,88.0
2017/2018,Terre-Neuve-et-Labrador,On-time,Homme,10,86.0
2017/2018,Terre-Neuve-et-Labrador,On-time,Femme,10,89.0
2017/2018,Terre-Neuve-et-Labrador,Extended-time,Total,10,92.0
2017/2018,Terre-Neuve-et-Labrador,Extended-time,Homme,10,92.0
2017/2018,Terre-Neuve-et-Labrador,Extended-time,Femme,10,93.0
2017/2018,Île-du-Prince-Édouard,On-time,Total,11,87.0
2017/2018,Île-du-Prince-Édouard,On-time,Homme,11,84.0
2017/2018,Île-du-Prince-Édouard,On-time,Femme,11,91.0
2017/2018,Île-du-Prince-Édouard,Extended-time,Total,11,89.0
2017/2018,Île-du-Prince-Édouard,Extended-time,Homme,11,86.0
2017/2018,Île-du-Prince-Édouard,Extended-time,Femme,11,92.0
2017/2018,Nouvelle-Écosse,On-time,Total,12,87.0
2017/2018,Nouvelle-Écosse,On-time,Homme,12,86.0
2017/2018,Nouvelle-Écosse,On-time,Femme,12,88.0
2017/2018,Nouvelle-Écosse,Extended-time,Total,12,90.0
2017/2018,Nouvelle-Écosse,Extended-time,Homme,12,88.0
2017/2018,Nouvelle-Écosse,Extended-time,Femme,12,92.0
2017/2018,Nouveau-Brunswick,On-time,Total,13,86.0
2017/2018,Nouveau-Brunswick,On-time,Homme,13,83.0
2017/2018,Nouveau-Brunswick,On-time,Femme,13,89.0
2017/2018,Nouveau-Brunswick,Extended-time,Total,13,90.0
2017/2018,Nouveau-Brunswick,Extended-time,Homme,13,88.0
2017/2018,Nouveau-Brunswick,Extended-time,Femme,13,92.0
2017/2018,Québec,On-time,Total,24,75.0
2017/2018,Québec,On-time,Homme,24,70.0
2017/2018,Québec,On-time,Femme,24,81.0
2017/2018,Québec,Extended-time,Total,24,84.0
2017/2018,Québec,Extended-time,Homme,24,80.0
2017/2018,Québec,Extended-time,Femme,24,88.0
2017/2018,Ontario,On-time,Total,35,82.0
2017/2018,Ontario,On-time,Homme,35,79.0
2017/2018,Ontario,On-time,Femme,35,86.0
2017/2018,Ontario,Extended-time,Total,35,91.0
2017/2018,Ontario,Extended-time,Homme,35,89.0
2017/2018,Ontario,Extended-time,Femme,35,94.0
2017/2018,Manitoba,On-time,Total,46,83.0
2017/2018,Manitoba,On-time,Homme,46,80.0
2017/2018,Manitoba,On-time,Femme,46,85.0
2017/2018,Manitoba,Extended-time,Total,46,87.0
2017/2018,Manitoba,Extended-time,Homme,46,85.0
2017/2018,Manitoba,Extended-time,Femme,46,89.0
2017/2018,Saskatchewan,On-time,Total,47,79.0
2017/2018,Saskatchewan,On-time,Homme,47,76.0
2017/2018,Saskatchewan,On-time,Femme,47,82.0
2017/2018,Saskatchewan,Extended-time,Total,47,84.0
2017/2018,Saskatchewan,Extended-time,Homme,47,82.0
2017/2018,Saskatchewan,Extended-time,Femme,47,86.0
2017/2018,Alberta,On-time,Total,48,80.0
2017/2018,Alberta,On-time,Homme,48,78.0
2017/2018,Alberta,On-time,Femme,48,82.0
2017/2018,Alberta,Extended-time,Total,48,86.0
2017/2018,Alberta,Extended-time,Homme,48,84.0
2017/2018,Alberta,Extended-time,Femme,48,88.0
2017/2018,Colombie-Britannique,On-time,Total,59,81.0
2017/2018,Colombie-Britannique,On-time,Homme,59,78.0
2017/2018,Colombie-Britannique,On-time,Femme,59,83.0
2017/2018,Colombie-Britannique,Extended-time,Total,59,88.0
2017/2018,Colombie-Britannique,Extended-time,Homme,59,86.0
2017/2018,Colombie-Britannique,Extended-time,Femme,59,90.0
2017/2018,Territoires du Nord-Ouest,On-time,Total,61,51.0
2017/2018,Territoires du Nord-Ouest,On-time,Homme,61,45.0
2017/2018,Territoires du Nord-Ouest,On-time,Femme,61,58.0
2017/2018,Territoires du Nord-Ouest,Extended-time,Total,61,
2017/2018,Territoires du Nord-Ouest,Extended-time,Homme,61,
2017/2018,Territoires du Nord-Ouest,Extended-time,Femme,61,
2017/2018,Nunavut,On-time,Total,62,
2017/2018,Nunavut,On-time,Homme,62,
2017/2018,Nunavut,On-time,Femme,62,
2017/2018,Nunavut,Extended-time,Total,62,
2017/2018,Nunavut,Extended-time,Homme,62,
2017/2018,Nunavut,Extended-time,Femme,62,
2018/2019,Terre-Neuve-et-Labrador,On-time,Total,10,89.0
2018/2019,Terre-Neuve-et-Labrador,On-time,Homme,10,87.0
2018/2019,Terre-Neuve-et-Labrador,On-time,Femme,10,91.0
2018/2019,Terre-Neuve-et-Labrador,Extended-time,Total,10,92.0
2018/2019,Terre-Neuve-et-Labrador,Extended-time,Homme,10,90.0
2018/2019,Terre-Neuve-et-Labrador,Extended-time,Femme,10,93.0
2018/2019,Île-du-Prince-Édouard,On-time,Total,11,89.0
2018/2019,Île-du-Prince-Édouard,On-time,Homme,11,88.0
2018/2019,Île-du-Prince-Édouard,On-time,Femme,11,90.0
2018/2019,Île-du-Prince-Édouard,Extended-time,Total,11,91.0
2018/2019,Île-du-Prince-Édouard,Extended-time,Homme,11,89.0
2018/2019,Île-du-Prince-Édouard,Extended-time,Femme,11,92.0
2018/2019,Nouvelle-Écosse,On-time,Total,12,86.0
2018/2019,Nouvelle-Écosse,On-time,Homme,12,86.0
2018/2019,Nouvelle-Écosse,On-time,Femme,12,87.0
2018/2019,Nouvelle-Écosse,Extended-time,Total,12,90.0
2018/2019,Nouvelle-Écosse,Extended-time,Homme,12,89.0
2018/2019,Nouvelle-Écosse,Extended-time,Femme,12,92.0
2018/2019,Nouveau-Brunswick,On-time,Total,13,85.0
2018/2019,Nouveau-Brunswick,On-time,Homme,13,83.0
2018/2019,Nouveau-Brunswick,On-time,Femme,13,88.0
2018/2019,Nouveau-Brunswick,Extended-time,Total,13,89.0
2018/2019,Nouveau-Brunswick,Extended-time,Homme,13,88.0
2018/2019,Nouveau-Brunswick,Extended-time,Femme,13,90.0
2018/2019,Québec,On-time,Total,24,75.0
2018/2019,Québec,On-time,Homme,24,69.0
2018/2019,Québec,On-time,Femme,24,81.0
2018/2019,Québec,Extended-time,Total,24,84.0
2018/2019,Québec,Extended-time,Homme,24,79.0
2018/2019,Québec,Extended-time,Femme,24,88.0
2018/2019,Ontario,On-time,Total,35,83.0
2018/2019,Ontario,On-time,Homme,35,80.0
2018/2019,Ontario,On-time,Femme,35,87.0
2018/2019,Ontario,Extended-time,Total,35,92.0
2018/2019,Ontario,Extended-time,Homme,35,90.0
2018/2019,Ontario,Extended-time,Femme,35,94.0
2018/2019,Manitoba,On-time,Total,46,82.0
2018/2019,Manitoba,On-time,Homme,46,79.0
2018/2019,Manitoba,On-time,Femme,46,86.0
2018/2019,Manitoba,Extended-time,Total,46,88.0
2018/2019,Manitoba,Extended-time,Homme,46,86.0
2018/2019,Manitoba,Extended-time,Femme,46,90.0
2018/2019,Saskatchewan,On-time,Total,47,80.0
2018/2019,Saskatchewan,On-time,Homme,47,77.0
2018/2019,Saskatchewan,On-time,Femme,47,82.0
2018/2019,Saskatchewan,Extended-time,Total,47,86.0
2018/2019,Saskatchewan,Extended-time,Homme,47,84.0
2018/2019,Saskatchewan,Extended-time,Femme,47,88.0
2018/2019,Alberta,On-time,Total,48,80.0
2018/2019,Alberta,On-time,Homme,48,78.0
2018/2019,Alberta,On-time,Femme,48,83.0
2018/2019,Alberta,Extended-time,Total,48,86.0
2018/2019,Alberta,Extended-time,Homme,48,84.0
2018/2019,Alberta,Extended-time,Femme,48,88.0
2018/2019,Colombie-Britannique,On-time,Total,59,81.0
2018/2019,Colombie-Britannique,On-time,Homme,59,79.0
2018/2019,Colombie-Britannique,On-time,Femme,59,84.0
2018/2019,Colombie-Britannique,Extended-time,Total,59,89.0
2018/2019,Colombie-Britannique,Extended-time,Homme,59,87.0
2018/2019,Colombie-Britannique,Extended-time,Femme,59,90.0
2018/2019,Territoires du Nord-Ouest,On-time,Total,61,49.0
2018/2019,Territoires du Nord-Ouest,On-time,Homme,61,42.0
2018/2019,Territoires du Nord-Ouest,On-time,Femme,61,56.0
2018/2019,Territoires du Nord-Ouest,Extended-time,Total,61,
2018/2019,Territoires du Nord-Ouest,Extended-time,Homme,61,
2018/2019,Territoires du Nord-Ouest,Extended-time,Femme,61,
2018/2019,Nunavut,On-time,Total,62,
2018/2019,Nunavut,On-time,Homme,62,
2018/2019,Nunavut,On-time,Femme,62,
2018/2019,Nunavut,Extended-time,Total,62,
2018/2019,Nunavut,Extended-time,Homme,62,
2018/2019,Nunavut,Extended-time,Femme,62,
2019/2020,Terre-Neuve-et-Labrador,On-time,Total,10,94.0
2019/2020,Terre-Neuve-et-Labrador,On-time,Homme,10,94.0
2019/2020,Terre-Neuve-et-Labrador,On-time,Femme,10,95.0
2019/2020,Terre-Neuve-et-Labrador,Extended-time,Total,10,92.0
2019/2020,Terre-Neuve-et-Labrador,Extended-time,Homme,10,90.0
2019/2020,Terre-Neuve-et-Labrador,Extended-time,Femme,10,94.0
2019/2020,Île-du-Prince-Édouard,On-time,Total,11,92.0
2019/2020,Île-du-Prince-Édouard,On-time,Homme,11,90.0
2019/2020,Île-du-Prince-Édouard,On-time,Femme,11,94.0
2019/2020,Île-du-Prince-Édouard,Extended-time,Total,11,91.0
2019/2020,Île-du-Prince-Édouard,Extended-time,Homme,11,89.0
2019/2020,Île-du-Prince-Édouard,Extended-time,Femme,11,94.0
2019/2020,Nouvelle-Écosse,On-time,Total,12,92.0
2019/2020,Nouvelle-Écosse,On-time,Homme,12,91.0
2019/2020,Nouvelle-Écosse,On-time,Femme,12,93.0
2019/2020,Nouvelle-Écosse,Extended-time,Total,12,91.0
2019/2020,Nouvelle-Écosse,Extended-time,Homme,12,90.0
2019/2020,Nouvelle-Écosse,Extended-time,Femme,12,92.0
2019/2020,Nouveau-Brunswick,On-time,Total,13,87.0
2019/2020,Nouveau-Brunswick,On-time,Homme,13,86.0
2019/2020,Nouveau-Brunswick,On-time,Femme,13,89.0
2019/2020,Nouveau-Brunswick,Extended-time,Total,13,89.0
2019/2020,Nouveau-Brunswick,Extended-time,Homme,13,88.0
2019/2020,Nouveau-Brunswick,Extended-time,Femme,13,91.0
2019/2020,Québec,On-time,Total,24,79.0
2019/2020,Québec,On-time,Homme,24,74.0
2019/2020,Québec,On-time,Femme,24,84.0
2019/2020,Québec,Extended-time,Total,24,83.0
2019/2020,Québec,Extended-time,Homme,24,80.0
2019/2020,Québec,Extended-time,Femme,24,87.0
2019/2020,Ontario,On-time,Total,35,86.0
2019/2020,Ontario,On-time,Homme,35,83.0
2019/2020,Ontario,On-time,Femme,35,89.0
