Year,Series,Units,Value
2018,Aide publique au développement (APD),Pourcentage (%),0.28
2019,Aide publique au développement (APD),Pourcentage (%),0.27
2020,Aide publique au développement (APD),Pourcentage (%),0.31
2021,Aide publique au développement (APD),Pourcentage (%),0.32
2022,Aide publique au développement (APD),Pourcentage (%),0.37
