Year,Âge,Sexe,Value
2016,Post-neonatal 1 month,Les deux sexes,0.4
2016,Post-neonatal 1 month,Hommes,0.4
2016,Post-neonatal 1 month,Femmes,0.3
2016,Post-neonatal 2 months,Les deux sexes,0.2
2016,Post-neonatal 2 months,Hommes,0.2
2016,Post-neonatal 2 months,Femmes,0.2
2016,Post-neonatal 3 months,Les deux sexes,0.2
2016,Post-neonatal 3 months,Hommes,0.2
2016,Post-neonatal 3 months,Femmes,0.2
2016,Post-neonatal 4 months,Les deux sexes,0.1
2016,Post-neonatal 4 months,Hommes,0.2
2016,Post-neonatal 4 months,Femmes,0.1
2016,Post-neonatal 5 months,Les deux sexes,0.1
2016,Post-neonatal 5 months,Hommes,0.1
2016,Post-neonatal 5 months,Femmes,0.1
2016,Post-neonatal 6 months,Les deux sexes,0.1
2016,Post-neonatal 6 months,Hommes,0.1
2016,Post-neonatal 6 months,Femmes,0.0
2016,Post-neonatal 7 months,Les deux sexes,0.0
2016,Post-neonatal 7 months,Hommes,0.0
2016,Post-neonatal 7 months,Femmes,0.0
2016,Post-neonatal 8 months,Les deux sexes,0.1
2016,Post-neonatal 8 months,Hommes,0.1
2016,Post-neonatal 8 months,Femmes,0.0
2016,Post-neonatal 9 months,Les deux sexes,0.0
2016,Post-neonatal 9 months,Hommes,0.0
2016,Post-neonatal 9 months,Femmes,0.1
2016,Post-neonatal 10 months,Les deux sexes,0.0
2016,Post-neonatal 10 months,Hommes,0.0
2016,Post-neonatal 10 months,Femmes,0.0
2016,Post-neonatal 11 months,Les deux sexes,0.0
2016,Post-neonatal 11 months,Hommes,0.0
2016,Post-neonatal 11 months,Femmes,0.0
2017,Total infant deaths under 1 year,Hommes,4.9
2017,Total infant deaths under 1 year,Femmes,4.2
2017,Neonatal 0 to 27 days,Les deux sexes,3.5
2017,Neonatal 0 to 27 days,Hommes,3.7
2017,Neonatal 0 to 27 days,Femmes,3.3
2017,Neonatal under 1 day,Les deux sexes,2.5
2017,Neonatal under 1 day,Hommes,2.6
2017,Neonatal under 1 day,Femmes,2.3
2017,Neonatal 1 day,Les deux sexes,0.2
2017,Neonatal 1 day,Hommes,0.2
2017,Neonatal 1 day,Femmes,0.1
2017,Neonatal 2 days,Les deux sexes,0.1
2017,Neonatal 2 days,Hommes,0.1
2017,Neonatal 2 days,Femmes,0.2
2017,Neonatal 3 days,Les deux sexes,0.1
2017,Neonatal 3 days,Hommes,0.1
2017,Neonatal 3 days,Femmes,0.1
2017,Neonatal 4 days,Les deux sexes,0.1
2017,Neonatal 4 days,Hommes,0.1
2017,Neonatal 4 days,Femmes,0.1
2017,Neonatal 5 days,Les deux sexes,0.1
2017,Neonatal 5 days,Hommes,0.1
2017,Neonatal 5 days,Femmes,0.0
2017,Neonatal 6 days,Les deux sexes,0.1
2017,Neonatal 6 days,Hommes,0.0
2017,Neonatal 6 days,Femmes,0.1
2017,Neonatal 7 to 13 days,Les deux sexes,0.3
2017,Neonatal 7 to 13 days,Hommes,0.3
2017,Neonatal 7 to 13 days,Femmes,0.3
2017,Neonatal 14 to 20 days,Les deux sexes,0.1
2017,Neonatal 14 to 20 days,Hommes,0.1
2017,Neonatal 14 to 20 days,Femmes,0.1
2017,Neonatal 21 to 27 days,Les deux sexes,0.1
2017,Neonatal 21 to 27 days,Hommes,0.1
2017,Neonatal 21 to 27 days,Femmes,0.1
2017,Post-neonatal 1 to 11 months,Les deux sexes,1.1
2017,Post-neonatal 1 to 11 months,Hommes,1.2
2017,Post-neonatal 1 to 11 months,Femmes,1.0
2017,Post-neonatal 1 month,Les deux sexes,0.3
2017,Post-neonatal 1 month,Hommes,0.3
2017,Post-neonatal 1 month,Femmes,0.3
2017,Post-neonatal 2 months,Les deux sexes,0.2
2017,Post-neonatal 2 months,Hommes,0.2
2017,Post-neonatal 2 months,Femmes,0.2
2017,Post-neonatal 3 months,Les deux sexes,0.1
2017,Post-neonatal 3 months,Hommes,0.1
2017,Post-neonatal 3 months,Femmes,0.1
2017,Post-neonatal 4 months,Les deux sexes,0.1
2017,Post-neonatal 4 months,Hommes,0.1
2017,Post-neonatal 4 months,Femmes,0.1
2017,Post-neonatal 5 months,Les deux sexes,0.1
2017,Post-neonatal 5 months,Hommes,0.1
2017,Post-neonatal 5 months,Femmes,0.1
2017,Post-neonatal 6 months,Les deux sexes,0.1
2017,Post-neonatal 6 months,Hommes,0.1
2017,Post-neonatal 6 months,Femmes,0.0
2017,Post-neonatal 7 months,Les deux sexes,0.0
2017,Post-neonatal 7 months,Hommes,0.0
2017,Post-neonatal 7 months,Femmes,0.0
2017,Post-neonatal 8 months,Les deux sexes,0.1
2017,Post-neonatal 8 months,Hommes,0.1
2017,Post-neonatal 8 months,Femmes,0.0
2017,Post-neonatal 9 months,Les deux sexes,0.0
2017,Post-neonatal 9 months,Hommes,0.0
2017,Post-neonatal 9 months,Femmes,0.0
2017,Post-neonatal 10 months,Les deux sexes,0.0
2017,Post-neonatal 10 months,Hommes,0.0
2017,Post-neonatal 10 months,Femmes,0.0
2017,Post-neonatal 11 months,Les deux sexes,0.0
2017,Post-neonatal 11 months,Hommes,0.0
2017,Post-neonatal 11 months,Femmes,0.0
2018,Total infant deaths under 1 year,Hommes,5.1
2018,Total infant deaths under 1 year,Femmes,4.5
2018,Neonatal 0 to 27 days,Les deux sexes,3.6
2018,Neonatal 0 to 27 days,Hommes,3.8
2018,Neonatal 0 to 27 days,Femmes,3.3
2018,Neonatal under 1 day,Les deux sexes,2.4
2018,Neonatal under 1 day,Hommes,2.7
2018,Neonatal under 1 day,Femmes,2.2
2018,Neonatal 1 day,Les deux sexes,0.2
2018,Neonatal 1 day,Hommes,0.2
2018,Neonatal 1 day,Femmes,0.1
2018,Neonatal 2 days,Les deux sexes,0.1
2018,Neonatal 2 days,Hommes,0.1
2018,Neonatal 2 days,Femmes,0.1
2018,Neonatal 3 days,Les deux sexes,0.1
2018,Neonatal 3 days,Hommes,0.1
2018,Neonatal 3 days,Femmes,0.1
2018,Neonatal 4 days,Les deux sexes,0.1
2018,Neonatal 4 days,Hommes,0.1
2018,Neonatal 4 days,Femmes,0.1
2018,Neonatal 5 days,Les deux sexes,0.1
2018,Neonatal 5 days,Hommes,0.1
2018,Neonatal 5 days,Femmes,0.1
2018,Neonatal 6 days,Les deux sexes,0.1
2018,Neonatal 6 days,Hommes,0.1
2018,Neonatal 6 days,Femmes,0.1
2018,Neonatal 7 to 13 days,Les deux sexes,0.2
2018,Neonatal 7 to 13 days,Hommes,0.2
2018,Neonatal 7 to 13 days,Femmes,0.2
2018,Neonatal 14 to 20 days,Les deux sexes,0.2
2018,Neonatal 14 to 20 days,Hommes,0.2
2018,Neonatal 14 to 20 days,Femmes,0.2
2018,Neonatal 21 to 27 days,Les deux sexes,0.1
2018,Neonatal 21 to 27 days,Hommes,0.1
2018,Neonatal 21 to 27 days,Femmes,0.1
2018,Post-neonatal 1 to 11 months,Les deux sexes,1.2
2018,Post-neonatal 1 to 11 months,Hommes,1.3
2018,Post-neonatal 1 to 11 months,Femmes,1.2
2018,Post-neonatal 1 month,Les deux sexes,0.4
2018,Post-neonatal 1 month,Hommes,0.4
2018,Post-neonatal 1 month,Femmes,0.4
2018,Post-neonatal 2 months,Les deux sexes,0.2
2018,Post-neonatal 2 months,Hommes,0.2
2018,Post-neonatal 2 months,Femmes,0.2
2018,Post-neonatal 3 months,Les deux sexes,0.1
2018,Post-neonatal 3 months,Hommes,0.2
2018,Post-neonatal 3 months,Femmes,0.1
2018,Post-neonatal 4 months,Les deux sexes,0.1
2018,Post-neonatal 4 months,Hommes,0.1
2018,Post-neonatal 4 months,Femmes,0.1
2018,Post-neonatal 5 months,Les deux sexes,0.1
2018,Post-neonatal 5 months,Hommes,0.1
2018,Post-neonatal 5 months,Femmes,0.1
2018,Post-neonatal 6 months,Les deux sexes,0.1
2018,Post-neonatal 6 months,Hommes,0.0
2018,Post-neonatal 6 months,Femmes,0.1
2018,Post-neonatal 7 months,Les deux sexes,0.1
2018,Post-neonatal 7 months,Hommes,0.1
2018,Post-neonatal 7 months,Femmes,0.0
2018,Post-neonatal 8 months,Les deux sexes,0.0
2018,Post-neonatal 8 months,Hommes,0.0
2018,Post-neonatal 8 months,Femmes,0.0
2018,Post-neonatal 9 months,Les deux sexes,0.0
2018,Post-neonatal 9 months,Hommes,0.0
2018,Post-neonatal 9 months,Femmes,0.1
2018,Post-neonatal 10 months,Les deux sexes,0.0
2018,Post-neonatal 10 months,Hommes,0.0
2018,Post-neonatal 10 months,Femmes,0.0
2018,Post-neonatal 11 months,Les deux sexes,0.0
2018,Post-neonatal 11 months,Hommes,0.0
2018,Post-neonatal 11 months,Femmes,0.0
2019,Total infant deaths under 1 year,Hommes,4.9
2019,Total infant deaths under 1 year,Femmes,3.9
2019,Neonatal 0 to 27 days,Les deux sexes,3.4
2019,Neonatal 0 to 27 days,Hommes,3.8
2019,Neonatal 0 to 27 days,Femmes,2.9
2019,Neonatal under 1 day,Les deux sexes,2.2
2019,Neonatal under 1 day,Hommes,2.5
2019,Neonatal under 1 day,Femmes,2.0
2019,Neonatal 1 day,Les deux sexes,0.2
2019,Neonatal 1 day,Hommes,0.2
2019,Neonatal 1 day,Femmes,0.1
2019,Neonatal 2 days,Les deux sexes,0.1
2019,Neonatal 2 days,Hommes,0.1
2019,Neonatal 2 days,Femmes,0.1
2019,Neonatal 3 days,Les deux sexes,0.1
2019,Neonatal 3 days,Hommes,0.1
2019,Neonatal 3 days,Femmes,0.1
2019,Neonatal 4 days,Les deux sexes,0.1
2019,Neonatal 4 days,Hommes,0.1
2019,Neonatal 4 days,Femmes,0.0
2019,Neonatal 5 days,Les deux sexes,0.1
2019,Neonatal 5 days,Hommes,0.1
2019,Neonatal 5 days,Femmes,0.1
2019,Neonatal 6 days,Les deux sexes,0.1
2019,Neonatal 6 days,Hommes,0.1
2019,Neonatal 6 days,Femmes,0.0
2019,Neonatal 7 to 13 days,Les deux sexes,0.2
2019,Neonatal 7 to 13 days,Hommes,0.3
2019,Neonatal 7 to 13 days,Femmes,0.2
2019,Neonatal 14 to 20 days,Les deux sexes,0.2
2019,Neonatal 14 to 20 days,Hommes,0.2
2019,Neonatal 14 to 20 days,Femmes,0.1
2019,Neonatal 21 to 27 days,Les deux sexes,0.1
2019,Neonatal 21 to 27 days,Hommes,0.1
2019,Neonatal 21 to 27 days,Femmes,0.1
2019,Post-neonatal 1 to 11 months,Les deux sexes,1.1
2019,Post-neonatal 1 to 11 months,Hommes,1.1
2019,Post-neonatal 1 to 11 months,Femmes,1.0
2019,Post-neonatal 1 month,Les deux sexes,0.3
2019,Post-neonatal 1 month,Hommes,0.4
2019,Post-neonatal 1 month,Femmes,0.3
2019,Post-neonatal 2 months,Les deux sexes,0.2
2019,Post-neonatal 2 months,Hommes,0.2
2019,Post-neonatal 2 months,Femmes,0.2
2019,Post-neonatal 3 months,Les deux sexes,0.1
2019,Post-neonatal 3 months,Hommes,0.1
2019,Post-neonatal 3 months,Femmes,0.1
2019,Post-neonatal 4 months,Les deux sexes,0.1
2019,Post-neonatal 4 months,Hommes,0.1
2019,Post-neonatal 4 months,Femmes,0.1
2019,Post-neonatal 5 months,Les deux sexes,0.1
2019,Post-neonatal 5 months,Hommes,0.1
2019,Post-neonatal 5 months,Femmes,0.0
2019,Post-neonatal 6 months,Les deux sexes,0.1
2019,Post-neonatal 6 months,Hommes,0.1
2019,Post-neonatal 6 months,Femmes,0.1
2019,Post-neonatal 7 months,Les deux sexes,0.0
2019,Post-neonatal 7 months,Hommes,0.1
2019,Post-neonatal 7 months,Femmes,0.0
2019,Post-neonatal 8 months,Les deux sexes,0.1
2019,Post-neonatal 8 months,Hommes,0.1
2019,Post-neonatal 8 months,Femmes,0.0
2019,Post-neonatal 9 months,Les deux sexes,0.0
2019,Post-neonatal 9 months,Hommes,0.0
2019,Post-neonatal 9 months,Femmes,0.0
2019,Post-neonatal 10 months,Les deux sexes,0.0
2019,Post-neonatal 10 months,Hommes,0.0
2019,Post-neonatal 10 months,Femmes,0.0
2019,Post-neonatal 11 months,Les deux sexes,0.0
2019,Post-neonatal 11 months,Hommes,0.0
2019,Post-neonatal 11 months,Femmes,0.0
2020,Total infant deaths under 1 year,Hommes,4.9
2020,Total infant deaths under 1 year,Femmes,4.2
2020,Neonatal 0 to 27 days,Les deux sexes,3.5
