Year,Series,Units,Géographie,Value
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Ottawa - Gatineau (partie de l'Ontario), Ontario",4729.05
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Ottawa - Gatineau (partie du Québec), Québec",1874.64
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Peterborough, Ontario",2342.13
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Québec, Québec",4044.17
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Regina, Saskatchewan",2596.52
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Saguenay, Québec",-21231.8
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Saint John, Nouveau-Brunswick",5222.3
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Saskatoon, Saskatchewan",2230.43
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Sherbrooke, Québec",1752.54
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"St. Catharines - Niagara, Ontario",8047.69
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"St. John's, Terre-Neuve-et-Labrador",1352.43
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Thunder Bay, Ontario",28248.48
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Toronto, Ontario",12247.96
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Trois-Rivières, Québec",1367.4
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Vancouver, Colombie-Britannique",6376.18
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Victoria, Colombie-Britannique",1531.51
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Windsor, Ontario",4643.71
2001/11,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Winnipeg, Manitoba",7340.74
