Year,Géographie,Genre de travail,Occupation,Sexe,Groupe d'âge,GeoCode,Value
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Sciences naturelles et appliquées et domaines apparentés, sauf les gestionnaires",Hommes,15 à 24 ans,,22.01
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Sciences naturelles et appliquées et domaines apparentés, sauf les gestionnaires",Hommes,25 à 54 ans,,36.61
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Sciences naturelles et appliquées et domaines apparentés, sauf les gestionnaires",Hommes,55 ans et plus,,40.92
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Sciences naturelles et appliquées et domaines apparentés, sauf les gestionnaires",Femmes,15 ans et plus,,31.76
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Sciences naturelles et appliquées et domaines apparentés, sauf les gestionnaires",Femmes,15 à 24 ans,,20.1
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Sciences naturelles et appliquées et domaines apparentés, sauf les gestionnaires",Femmes,25 à 54 ans,,32.64
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Sciences naturelles et appliquées et domaines apparentés, sauf les gestionnaires",Femmes,55 ans et plus,,35.67
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Secteur de la santé, sauf les gestionnaires",Les deux sexes,15 ans et plus,,29.47
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Secteur de la santé, sauf les gestionnaires",Les deux sexes,15 à 24 ans,,20.83
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Secteur de la santé, sauf les gestionnaires",Les deux sexes,25 à 54 ans,,30.09
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Secteur de la santé, sauf les gestionnaires",Les deux sexes,55 ans et plus,,31.26
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Secteur de la santé, sauf les gestionnaires",Hommes,15 ans et plus,,31.1
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Secteur de la santé, sauf les gestionnaires",Hommes,15 à 24 ans,,21.1
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Secteur de la santé, sauf les gestionnaires",Hommes,25 à 54 ans,,31.89
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Secteur de la santé, sauf les gestionnaires",Hommes,55 ans et plus,,33.09
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Secteur de la santé, sauf les gestionnaires",Femmes,15 ans et plus,,29.16
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Secteur de la santé, sauf les gestionnaires",Femmes,15 à 24 ans,,20.78
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Secteur de la santé, sauf les gestionnaires",Femmes,25 à 54 ans,,29.73
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Secteur de la santé, sauf les gestionnaires",Femmes,55 ans et plus,,30.99
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Les deux sexes,15 ans et plus,,31.55
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Les deux sexes,15 à 24 ans,,17.49
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Les deux sexes,25 à 54 ans,,32.4
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Les deux sexes,55 ans et plus,,33.8
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Hommes,15 ans et plus,,36.52
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Hommes,15 à 24 ans,,18.74
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Hommes,25 à 54 ans,,36.81
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Hommes,55 ans et plus,,41.12
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Femmes,15 ans et plus,,29.25
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Femmes,15 à 24 ans,,17.04
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Femmes,25 à 54 ans,,30.39
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Femmes,55 ans et plus,,29.73
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs, sauf les gestionnaires",Les deux sexes,15 ans et plus,,23.41
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs, sauf les gestionnaires",Les deux sexes,15 à 24 ans,,15.58
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs, sauf les gestionnaires",Les deux sexes,25 à 54 ans,,26.72
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs, sauf les gestionnaires",Les deux sexes,55 ans et plus,,30.42
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs, sauf les gestionnaires",Hommes,15 ans et plus,,24.4
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs, sauf les gestionnaires",Hommes,15 à 24 ans,,16.57
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs, sauf les gestionnaires",Hommes,25 à 54 ans,,27.06
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs, sauf les gestionnaires",Hommes,55 ans et plus,,32.92
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs, sauf les gestionnaires",Femmes,15 ans et plus,,22.52
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs, sauf les gestionnaires",Femmes,15 à 24 ans,,14.74
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs, sauf les gestionnaires",Femmes,25 à 54 ans,,26.42
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs, sauf les gestionnaires",Femmes,55 ans et plus,,27.52
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Vente et services, sauf les gestionnaires",Les deux sexes,15 ans et plus,,16.99
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Vente et services, sauf les gestionnaires",Les deux sexes,15 à 24 ans,,12.36
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Vente et services, sauf les gestionnaires",Les deux sexes,25 à 54 ans,,19.28
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Vente et services, sauf les gestionnaires",Les deux sexes,55 ans et plus,,18.71
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Vente et services, sauf les gestionnaires",Hommes,15 ans et plus,,18.73
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Vente et services, sauf les gestionnaires",Hommes,15 à 24 ans,,12.43
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Vente et services, sauf les gestionnaires",Hommes,25 à 54 ans,,21.78
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Vente et services, sauf les gestionnaires",Hommes,55 ans et plus,,21.2
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Vente et services, sauf les gestionnaires",Femmes,15 ans et plus,,15.68
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Vente et services, sauf les gestionnaires",Femmes,15 à 24 ans,,12.31
