Year,Series,Géographie,GeoCode,Value
2015,Wastewater discharged from municipal sewage systems,Maritime Coastal drainage region,,95.75
2015,Wastewater discharged from municipal sewage systems,Nouveau-Brunswick,13,100.0
2015,Wastewater discharged from municipal sewage systems,Newfoundland-Labrador drainage region,,80.64
2015,Wastewater discharged from municipal sewage systems,Terre-Neuve-et-Labrador,10,80.7
2015,Wastewater discharged from municipal sewage systems,North Saskatchewan drainage region,,100.0
2015,Wastewater discharged from municipal sewage systems,North Shore-Gaspé drainage region,,97.22
2015,Wastewater discharged from municipal sewage systems,Northern Ontario drainage region,,99.35
2015,Wastewater discharged from municipal sewage systems,Northern Quebec drainage region,,98.93
2015,Wastewater discharged from municipal sewage systems,Nouvelle-Écosse,12,93.97
2015,Wastewater discharged from municipal sewage systems,Okanagan-Similkameen drainage region,,100.0
2015,Wastewater discharged from municipal sewage systems,Ontario,35,100.0
2015,Wastewater discharged from municipal sewage systems,Ottawa drainage region,,99.81
2015,Wastewater discharged from municipal sewage systems,Pacific Coastal drainage region,,85.72
2015,Wastewater discharged from municipal sewage systems,Peace-Athabasca drainage region,,100.0
2015,Wastewater discharged from municipal sewage systems,Île-du-Prince-Édouard,11,100.0
2015,Wastewater discharged from municipal sewage systems,Québec,24,99.67
2015,Wastewater discharged from municipal sewage systems,Saint John-St. Croix drainage region,,100.0
2015,Wastewater discharged from municipal sewage systems,Saskatchewan,47,100.0
2015,Wastewater discharged from municipal sewage systems,South Saskatchewan drainage region,,100.0
2015,Wastewater discharged from municipal sewage systems,St. Lawrence drainage region,,99.9
2015,Wastewater discharged from municipal sewage systems,Total drainage regions,,99.05
2015,Wastewater discharged from municipal sewage systems,Winnipeg drainage region,,100.0
2015,Wastewater discharged from municipal sewage systems,Yukon,60,100.0
2015,Wastewater discharged from municipal sewage systems,Yukon drainage region,,100.0
2016,Wastewater discharged from municipal sewage systems,Alberta,48,100.0
2016,Wastewater discharged from municipal sewage systems,Assiniboine-Red drainage region,,99.97
2016,Wastewater discharged from municipal sewage systems,Colombie-Britannique,59,97.2
2016,Wastewater discharged from municipal sewage systems,,,99.06
2016,Wastewater discharged from municipal sewage systems,Churchill drainage region,,100.0
2016,Wastewater discharged from municipal sewage systems,Columbia drainage region,,100.0
2016,Wastewater discharged from municipal sewage systems,Fraser-Lower Mainland drainage region,,100.0
2016,Wastewater discharged from municipal sewage systems,Great Lakes drainage region,,99.99
