Year,Géographie,Niveau de gouvernement,Type de patrimoine,Value
2015,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,0.00141
2015,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00037
2015,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2015,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",5e-05
2015,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,0.00032
2015,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00023
2015,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",2e-05
2015,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",0.00027
2015,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,0.00016
2015,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00058
2015,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2015,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",0.00036
2016,Canada,Administration publique générale canadienne consolidée,Préservation de la diversité biologique et protection de la nature,5e-05
2016,Canada,Administration publique générale canadienne consolidée,Services culturels,0.00016
2016,Canada,Administration publique générale canadienne consolidée,"Services de radiodiffusion, de television et d'édition
",9e-05
2016,Canada,Administration publique générale canadienne consolidée,"Loisirs, culture et religion non classés ailleurs",5e-05
2016,Canada,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,4e-05
2016,Canada,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001
2016,Canada,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",4e-05
2016,Canada,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",5e-05
2016,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,2e-05
2016,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,8e-05
2016,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2016,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",4e-05
2016,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1e-05
2016,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,9e-05
2016,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2016,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",1e-05
2016,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,2e-05
2016,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00011
2016,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2016,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",9e-05
2016,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1e-05
2016,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,8e-05
2016,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2016,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",2e-05
2016,Québec,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1e-05
2016,Québec,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00013
2016,Québec,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",1e-05
2016,Québec,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",8e-05
2016,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,5e-05
2016,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001
2016,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",5e-05
2016,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",1e-05
2016,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,3e-05
2016,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00011
2016,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",2e-05
2016,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",1e-05
2016,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1e-05
2016,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001
2016,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2016,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",6e-05
2016,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,8e-05
2016,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001
2016,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",1e-05
2016,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",7e-05
2016,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1e-05
2016,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,7e-05
2016,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0001
2016,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",0.0001
2016,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,0.00109
2016,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00049
2016,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2016,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",5e-05
2016,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,0.00029
2016,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00022
2016,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",2e-05
2016,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",0.00027
2016,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,0.00016
2016,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00057
2016,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2016,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",0.00041
2017,Canada,Administration publique générale canadienne consolidée,Préservation de la diversité biologique et protection de la nature,5e-05
2017,Canada,Administration publique générale canadienne consolidée,Services culturels,0.00017
2017,Canada,Administration publique générale canadienne consolidée,"Services de radiodiffusion, de television et d'édition
",0.0001
2017,Canada,Administration publique générale canadienne consolidée,"Loisirs, culture et religion non classés ailleurs",5e-05
2017,Canada,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,4e-05
2017,Canada,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00011
2017,Canada,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",4e-05
2017,Canada,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",5e-05
2017,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1e-05
2017,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,9e-05
2017,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2017,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",4e-05
2017,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1e-05
