Year,Value
1990,0.54
1991,0.54
1992,0.56
1993,0.54
1994,0.54
1995,0.54
1996,0.55
1997,0.53
1998,0.52
1999,0.5
2000,0.49
2001,0.48
2002,0.47
2003,0.47
2004,0.46
2005,0.44
2006,0.43
2007,0.43
2008,0.42
2009,0.41
2010,0.4
2011,0.4
2012,0.39
2013,0.39
2014,0.37
2015,0.37
2016,0.36
2017,0.35
2018,0.35
2019,0.34
2020,0.32
2021,0.32
