Year,Géographie,Type de production d'électricité,GeoCode,Value
2015,,,,63.523
2016,,,,64.071
2017,,,,65.307
2018,,,,65.155
2019,,,,65.0
2020,,,,66.352
2021,,,,66.509
2015,Canada,Turbine à hydraulique,,59.107
2015,Canada,Turbine marémotrice,,0.002
2015,Canada,Turbine éolienne,,4.169
2015,Canada,Solaire,,0.223
2015,Canada,Autres types de production électrique,,0.022
2015,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",10,95.462
2015,Terre-Neuve-et-Labrador,Turbine à hydraulique,10,95.049
2015,Terre-Neuve-et-Labrador,Turbine éolienne,10,0.413
2015,Île-du-Prince-Édouard,"Total, tous les genres de production d'électricité",11,98.403
2015,Île-du-Prince-Édouard,Turbine éolienne,11,98.403
2015,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",12,17.902
2015,Nouvelle-Écosse,Turbine à hydraulique,12,9.87
2015,Nouvelle-Écosse,Turbine marémotrice,12,0.125
2015,Nouvelle-Écosse,Turbine éolienne,12,7.907
2015,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",13,24.442
2015,Nouveau-Brunswick,Turbine à hydraulique,13,18.76
2015,Nouveau-Brunswick,Turbine éolienne,13,5.682
2015,Nouveau-Brunswick,Autres types de production électrique,13,0.0
2015,Québec,"Total, tous les genres de production d'électricité",24,99.168
2015,Québec,Turbine à hydraulique,24,95.996
2015,Québec,Turbine éolienne,24,3.171
2015,Québec,Solaire,24,0.001
2015,Québec,Autres types de production électrique,24,0.0
2015,Ontario,"Total, tous les genres de production d'électricité",35,30.311
2015,Ontario,Turbine à hydraulique,35,22.192
2015,Ontario,Turbine éolienne,35,7.216
2015,Ontario,Solaire,35,0.903
2015,Ontario,Autres types de production électrique,35,0.0
2015,Manitoba,"Total, tous les genres de production d'électricité",46,99.251
2015,Manitoba,Turbine à hydraulique,46,96.737
2015,Manitoba,Turbine éolienne,46,2.513
2015,Saskatchewan,"Total, tous les genres de production d'électricité",47,17.274
2015,Saskatchewan,Turbine à hydraulique,47,14.627
2015,Saskatchewan,Turbine éolienne,47,2.647
2015,Saskatchewan,Autres types de production électrique,47,0.0
2015,Alberta,"Total, tous les genres de production d'électricité",48,7.669
2015,Alberta,Turbine à hydraulique,48,2.443
2015,Alberta,Turbine éolienne,48,5.053
2015,Alberta,Solaire,48,0.0
2015,Alberta,Autres types de production électrique,48,0.172
2015,Colombie-Britannique,"Total, tous les genres de production d'électricité",59,91.774
2015,Colombie-Britannique,Turbine à hydraulique,59,90.565
2015,Colombie-Britannique,Turbine éolienne,59,1.209
2015,Colombie-Britannique,Solaire,59,0.0
2015,Colombie-Britannique,Autres types de production électrique,59,0.0
2015,Yukon,"Total, tous les genres de production d'électricité",60,94.299
2015,Yukon,Turbine à hydraulique,60,94.154
2015,Yukon,Turbine éolienne,60,0.145
2015,Territoires du Nord-Ouest,"Total, tous les genres de production d'électricité",61,25.01
2015,Territoires du Nord-Ouest,Turbine à hydraulique,61,22.182
2015,Territoires du Nord-Ouest,Turbine éolienne,61,2.81
2015,Territoires du Nord-Ouest,Solaire,61,0.019
2016,Canada,Turbine à hydraulique,,59.03
2016,Canada,Turbine marémotrice,,0.003
2016,Canada,Turbine éolienne,,4.736
2016,Canada,Solaire,,0.275
2016,Canada,Autres types de production électrique,,0.027
2016,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",10,94.802
2016,Terre-Neuve-et-Labrador,Turbine à hydraulique,10,94.348
2016,Terre-Neuve-et-Labrador,Turbine éolienne,10,0.454
2016,Île-du-Prince-Édouard,"Total, tous les genres de production d'électricité",11,98.361
2016,Île-du-Prince-Édouard,Turbine éolienne,11,98.361
2016,Île-du-Prince-Édouard,Solaire,11,0.0
2016,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",12,18.439
2016,Nouvelle-Écosse,Turbine à hydraulique,12,8.13
2016,Nouvelle-Écosse,Turbine marémotrice,12,0.188
2016,Nouvelle-Écosse,Turbine éolienne,12,10.121
2016,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",13,26.46
2016,Nouveau-Brunswick,Turbine à hydraulique,13,21.426
