From,To
Géographie,Type of childhood maltreatment
Type of childhood maltreatment,Genre
Genre,Âge
Genre,Immigrant status
Genre,Minorité visible
Genre,Identité autochtone
Genre,Disability status
Genre,Sexual orientation
