Year,Value
1990,0.86
1991,0.84
1992,0.84
1993,0.81
1994,0.79
1995,0.78
1996,0.78
1997,0.75
1998,0.73
1999,0.7
2000,0.66
2001,0.63
2002,0.61
2003,0.59
2004,0.56
2005,0.52
2006,0.49
2007,0.48
2008,0.45
2009,0.44
2010,0.43
2011,0.41
2012,0.4
2013,0.38
2014,0.37
2015,0.37
2016,0.35
2017,0.34
2018,0.33
2019,0.32
2020,0.3
