Year,Series,Units,Value
2018,Official Development Assistance (ODA),Percentage (%),0.28
2019,Official Development Assistance (ODA),Percentage (%),0.27
2020,Official Development Assistance (ODA),Percentage (%),0.31
2021,Official Development Assistance (ODA),Percentage (%),0.32
2022,Official Development Assistance (ODA),Percentage (%),0.37
