Year,Géographie,Industrie,GeoCode,Value
2015,Canada,Fabrication de matériel électrique d'éclairage,,0.03
2015,Canada,Fabrication d'appareils ménagers,,0.01
2015,Canada,Fabrication de matériel électrique,,0.1
2015,Canada,Fabrication d'autres types de matériel et de composants électriques,,0.07
2015,Canada,,,1.21
2015,Canada,Fabrication de véhicules automobiles,,0.26
2015,Canada,Fabrication de carrosseries et de remorques de véhicules automobiles,,0.08
2015,Canada,Fabrication de pièces pour véhicules automobiles,,0.45
2015,Canada,Fabrication de produits aérospatiaux et de leurs pièces,,0.3
2015,Canada,Fabrication de matériel ferroviaire roulant,,0.03
2015,Canada,Construction de navires et d'embarcations,,0.04
2015,Canada,Fabrication d'autres types de matériel de transport,,0.05
2015,Canada,Fabrication de meubles et de produits connexes,,0.41
2015,Canada,Fabrication de meubles de maison et d'établissement institutionnel et d'armoires de cuisine,,0.25
2015,Canada,Fabrication de meubles de bureau (y compris les articles d'ameublement),,0.13
2015,Canada,Fabrication d'autres produits connexes aux meubles,,0.03
2015,Canada,Activités diverses de fabrication,,0.36
2015,Canada,Fabrication de fournitures et de matériel médicaux,,0.11
2015,Canada,Autres activités diverses de fabrication,,0.25
2015,Terre-Neuve-et-Labrador,Total de l’industrie manufacturière,10,5.86
2015,Terre-Neuve-et-Labrador,Biens non durables,10,4.39
2015,Terre-Neuve-et-Labrador,Fabrication d’aliments,10,3.44
2015,Terre-Neuve-et-Labrador,Fabrication d'aliments pour animaux,10,
2015,Terre-Neuve-et-Labrador,Mouture de grains céréaliers et de graines oléagineuses,10,
2015,Terre-Neuve-et-Labrador,Fabrication de sucre et de confiseries,10,
2015,Terre-Neuve-et-Labrador,Mise en conserve de fruits et de légumes et fabrication de spécialités alimentaires,10,
2015,Terre-Neuve-et-Labrador,Fabrication de produits laitiers,10,
2015,Terre-Neuve-et-Labrador,Fabrication de produits de viande,10,
2015,Terre-Neuve-et-Labrador,Préparation et conditionnement de poissons et de fruits de mer,10,2.89
2015,Terre-Neuve-et-Labrador,Boulangeries et fabrication de tortillas,10,0.11
2015,Terre-Neuve-et-Labrador,Fabrication d'autres aliments,10,
2015,Terre-Neuve-et-Labrador,Fabrication de boissons et de produits du tabac,10,0.18
2015,Terre-Neuve-et-Labrador,Fabrication de boissons,10,
2015,Terre-Neuve-et-Labrador,Fabrication du tabac,10,
2015,Terre-Neuve-et-Labrador,Fabrication de produits du cannabis,10,
2015,Terre-Neuve-et-Labrador,Usines de textiles,10,
2015,Terre-Neuve-et-Labrador,"Usines de fibres, de filés et de fils",10,
2015,Terre-Neuve-et-Labrador,Usines de tissus,10,
2015,Terre-Neuve-et-Labrador,Finissage de textiles et de tissus et revêtement de tissus,10,
2015,Terre-Neuve-et-Labrador,Usines de produits textiles,10,0.02
2015,Terre-Neuve-et-Labrador,Usines de textiles domestiques,10,
2015,Terre-Neuve-et-Labrador,Usines d'autres produits textiles,10,
2015,Terre-Neuve-et-Labrador,Apparel manufacturing,10,
2015,Terre-Neuve-et-Labrador,Apparel knitting mills,10,
2015,Terre-Neuve-et-Labrador,Fabrication de vêtements coupés-cousus,10,
2015,Terre-Neuve-et-Labrador,Fabrication d'accessoires vestimentaires et d'autres vêtements,10,
2015,Terre-Neuve-et-Labrador,Fabrication de produits en cuir et de produits analogues,10,
2015,Terre-Neuve-et-Labrador,Tannage et finissage du cuir et des peaux,10,
2015,Terre-Neuve-et-Labrador,Fabrication de chaussures,10,
2015,Terre-Neuve-et-Labrador,Fabrication d'autres produits en cuir et produits analogues,10,
2015,Terre-Neuve-et-Labrador,Fabrication du papier,10,
2015,Terre-Neuve-et-Labrador,"Usines de pâte à papier, de papier et de carton",10,
2015,Terre-Neuve-et-Labrador,Fabrication de produits en papier transformé,10,
2015,Terre-Neuve-et-Labrador,Impression et activités connexes de soutien,10,0.09
2015,Terre-Neuve-et-Labrador,Fabrication de produits du pétrole et du charbon,10,
2015,Terre-Neuve-et-Labrador,Fabrication de produits chimiques,10,
2015,Terre-Neuve-et-Labrador,Fabrication de produits chimiques de base,10,
2015,Terre-Neuve-et-Labrador,"Fabrication de résines, de caoutchouc synthétique et de fibres et de filaments artificiels et synthétiques",10,
2015,Terre-Neuve-et-Labrador,"Fabrication de pesticides, d'engrais et d'autres produits chimiques agricoles",10,
2015,Terre-Neuve-et-Labrador,Fabrication de produits pharmaceutiques et de médicaments,10,
2015,Terre-Neuve-et-Labrador,"Fabrication de peintures, de revêtements et d'adhésifs",10,
2015,Terre-Neuve-et-Labrador,"Fabrication de savons, de détachants et de produits de toilette",10,
