Year,Géographie,Industrie,GeoCode,Value
2015,Colombie-Britannique,Fabrication du papier,59,0.41
2015,Colombie-Britannique,"Usines de pâte à papier, de papier et de carton",59,0.31
2015,Colombie-Britannique,Fabrication de produits en papier transformé,59,0.1
2015,Colombie-Britannique,Impression et activités connexes de soutien,59,0.21
2015,Colombie-Britannique,Fabrication de produits du pétrole et du charbon,59,0.04
2015,Colombie-Britannique,Fabrication de produits chimiques,59,0.27
2015,Colombie-Britannique,Fabrication de produits chimiques de base,59,0.03
2015,Colombie-Britannique,"Fabrication de résines, de caoutchouc synthétique et de fibres et de filaments artificiels et synthétiques",59,0.01
2015,Colombie-Britannique,"Fabrication de pesticides, d'engrais et d'autres produits chimiques agricoles",59,0.03
2015,Colombie-Britannique,Fabrication de produits pharmaceutiques et de médicaments,59,0.1
2015,Colombie-Britannique,"Fabrication de peintures, de revêtements et d'adhésifs",59,0.03
2015,Colombie-Britannique,"Fabrication de savons, de détachants et de produits de toilette",59,0.05
2015,Colombie-Britannique,Fabrication d'autres produits chimiques,59,0.03
2015,Colombie-Britannique,Fabrication de produits en plastique et en caoutchouc,59,0.26
2015,Colombie-Britannique,Fabrication de produits en plastique,59,
2015,Colombie-Britannique,Fabrication de produits en caoutchouc,59,
2015,Colombie-Britannique,Biens durables,59,4.1
2015,Colombie-Britannique,Fabrication de produits en bois,59,1.27
2015,Colombie-Britannique,Scieries et préservation du bois,59,0.72
2015,Colombie-Britannique,"Fabrication de placages, de contreplaqués et de produits en bois reconstitué",59,0.22
2015,Colombie-Britannique,Fabrication d'autres produits en bois,59,0.33
2015,Colombie-Britannique,Fabrication de produits minéraux non métalliques,59,0.28
2015,Colombie-Britannique,Fabrication de produits en argile et produits réfractaires,59,0.01
2015,Colombie-Britannique,Fabrication de verre et de produits en verre,59,0.06
2015,Colombie-Britannique,Fabrication de ciment et de produits en béton,59,0.16
2015,Colombie-Britannique,Fabrication de chaux et de produits en gypse,59,0.01
2015,Colombie-Britannique,Fabrication d'autres produits minéraux non métalliques,59,0.03
2015,Colombie-Britannique,Première transformation des métaux,59,0.19
2015,Colombie-Britannique,Sidérurgie,59,
2015,Colombie-Britannique,Fabrication de produits en acier à partir d'acier acheté,59,
2015,Colombie-Britannique,Production et transformation d'alumine et d'aluminium,59,
2015,Colombie-Britannique,Production et transformation de métaux non ferreux (sauf l'aluminium),59,
2015,Colombie-Britannique,Fonderies,59,0.03
2015,Colombie-Britannique,Fabrication de produits métalliques,59,0.56
2015,Colombie-Britannique,Forgeage et estampage,59,0.01
2015,Colombie-Britannique,Fabrication de coutellerie et d'outils à main,59,0.01
2015,Colombie-Britannique,Fabrication de produits d'architecture et d'éléments de charpentes métalliques,59,0.29
2015,Colombie-Britannique,"Fabrication de chaudières, de réservoirs et de contenants d'expédition",59,0.03
2015,Colombie-Britannique,Fabrication d'articles de quincaillerie,59,0.01
2015,Colombie-Britannique,Fabrication de ressorts et de produits en fil métallique,59,0.01
2015,Colombie-Britannique,"Ateliers d'usinage, fabrication de produits tournés, de vis, d'écrous et de boulons",59,0.1
2015,Colombie-Britannique,"Revêtement, gravure, traitement thermique et par le froid, et activités analogues",59,0.03
2015,Colombie-Britannique,Fabrication d'autres produits métalliques,59,0.06
2015,Colombie-Britannique,Fabrication de machines,59,0.42
2015,Colombie-Britannique,"Fabrication de machines pour l'agriculture, la construction et l'extraction minière",59,0.06
2015,Colombie-Britannique,Fabrication de machines industrielles,59,0.08
2015,Colombie-Britannique,Fabrication de machines pour le commerce et les industries de services,59,0.03
2015,Colombie-Britannique,"Fabrication d'appareils de ventilation, de chauffage, de climatisation et de réfrigération commerciale",59,0.08
2015,Colombie-Britannique,Fabrication de machines-outils pour le travail du métal,59,0.04
2015,Colombie-Britannique,"Fabrication de moteurs, de turbines et de matériel de transmission de puissance",59,0.02
2015,Colombie-Britannique,Fabrication d'autres machines d'usage général,59,0.11
2015,Colombie-Britannique,Fabrication de produits informatiques et électroniques,59,0.27
2015,Colombie-Britannique,Fabrication de matériel informatique et périphérique,59,0.04
2015,Colombie-Britannique,Fabrication de matériel de communication,59,0.04
2015,Colombie-Britannique,Fabrication de matériel audio et vidéo,59,
2015,Colombie-Britannique,Fabrication de semi-conducteurs et d'autres composants électroniques,59,0.07
2015,Colombie-Britannique,"Fabrication d'instruments de navigation, de mesure et de commande et d'instruments médicaux",59,0.11
2015,Colombie-Britannique,Fabrication et reproduction de supports magnétiques et optiques,59,
2015,Colombie-Britannique,"Fabrication de matériel, d'appareils et de composants électriques",59,0.14
2015,Colombie-Britannique,Fabrication de matériel électrique d'éclairage,59,0.02
2015,Colombie-Britannique,Fabrication d'appareils ménagers,59,0.0
2015,Colombie-Britannique,Fabrication de matériel électrique,59,0.04
2015,Colombie-Britannique,Fabrication d'autres types de matériel et de composants électriques,59,0.08
2015,Colombie-Britannique,,59,0.34
2015,Colombie-Britannique,Fabrication de véhicules automobiles,59,
2015,Colombie-Britannique,Fabrication de carrosseries et de remorques de véhicules automobiles,59,0.08
2015,Colombie-Britannique,Fabrication de pièces pour véhicules automobiles,59,0.07
2015,Colombie-Britannique,Fabrication de produits aérospatiaux et de leurs pièces,59,0.1
2015,Colombie-Britannique,Fabrication de matériel ferroviaire roulant,59,
2015,Colombie-Britannique,Construction de navires et d'embarcations,59,0.08
2015,Colombie-Britannique,Fabrication d'autres types de matériel de transport,59,
2015,Colombie-Britannique,Fabrication de meubles et de produits connexes,59,0.3
2015,Colombie-Britannique,Fabrication de meubles de maison et d'établissement institutionnel et d'armoires de cuisine,59,0.24
2015,Colombie-Britannique,Fabrication de meubles de bureau (y compris les articles d'ameublement),59,0.03
2015,Colombie-Britannique,Fabrication d'autres produits connexes aux meubles,59,0.03
2015,Colombie-Britannique,Activités diverses de fabrication,59,0.32
2015,Colombie-Britannique,Fabrication de fournitures et de matériel médicaux,59,0.1
2015,Colombie-Britannique,Autres activités diverses de fabrication,59,0.22
2015,Yukon,Total de l’industrie manufacturière,60,
2015,Yukon,Biens non durables,60,
2015,Yukon,Fabrication d’aliments,60,
2015,Yukon,Fabrication d'aliments pour animaux,60,
2015,Yukon,Mouture de grains céréaliers et de graines oléagineuses,60,
2015,Yukon,Fabrication de sucre et de confiseries,60,
2015,Yukon,Mise en conserve de fruits et de légumes et fabrication de spécialités alimentaires,60,
2015,Yukon,Fabrication de produits laitiers,60,
2015,Yukon,Fabrication de produits de viande,60,
2015,Yukon,Préparation et conditionnement de poissons et de fruits de mer,60,
2015,Yukon,Boulangeries et fabrication de tortillas,60,
2015,Yukon,Fabrication d'autres aliments,60,
2015,Yukon,Fabrication de boissons et de produits du tabac,60,
2015,Yukon,Fabrication de boissons,60,
2015,Yukon,Fabrication du tabac,60,
2015,Yukon,Fabrication de produits du cannabis,60,
2015,Yukon,Usines de textiles,60,
2015,Yukon,"Usines de fibres, de filés et de fils",60,
2015,Yukon,Usines de tissus,60,
2015,Yukon,Finissage de textiles et de tissus et revêtement de tissus,60,
2015,Yukon,Usines de produits textiles,60,
2015,Yukon,Usines de textiles domestiques,60,
2015,Yukon,Usines d'autres produits textiles,60,
2015,Yukon,Apparel manufacturing,60,
2015,Yukon,Apparel knitting mills,60,
2015,Yukon,Fabrication de vêtements coupés-cousus,60,
2015,Yukon,Fabrication d'accessoires vestimentaires et d'autres vêtements,60,
2015,Yukon,Fabrication de produits en cuir et de produits analogues,60,
2015,Yukon,Tannage et finissage du cuir et des peaux,60,
2015,Yukon,Fabrication de chaussures,60,
2015,Yukon,Fabrication d'autres produits en cuir et produits analogues,60,
2015,Yukon,Fabrication du papier,60,
2015,Yukon,"Usines de pâte à papier, de papier et de carton",60,
2015,Yukon,Fabrication de produits en papier transformé,60,
2015,Yukon,Impression et activités connexes de soutien,60,
2015,Yukon,Fabrication de produits du pétrole et du charbon,60,
2015,Yukon,Fabrication de produits chimiques,60,
2015,Yukon,Fabrication de produits chimiques de base,60,
2015,Yukon,"Fabrication de résines, de caoutchouc synthétique et de fibres et de filaments artificiels et synthétiques",60,
2015,Yukon,"Fabrication de pesticides, d'engrais et d'autres produits chimiques agricoles",60,
2015,Yukon,Fabrication de produits pharmaceutiques et de médicaments,60,
2015,Yukon,"Fabrication de peintures, de revêtements et d'adhésifs",60,
2015,Yukon,"Fabrication de savons, de détachants et de produits de toilette",60,
2015,Yukon,Fabrication d'autres produits chimiques,60,
2015,Yukon,Fabrication de produits en plastique et en caoutchouc,60,
2015,Yukon,Fabrication de produits en plastique,60,
2015,Yukon,Fabrication de produits en caoutchouc,60,
2015,Yukon,Biens durables,60,
2015,Yukon,Fabrication de produits en bois,60,
2015,Yukon,Scieries et préservation du bois,60,
2015,Yukon,"Fabrication de placages, de contreplaqués et de produits en bois reconstitué",60,
2015,Yukon,Fabrication d'autres produits en bois,60,
2015,Yukon,Fabrication de produits minéraux non métalliques,60,
2015,Yukon,Fabrication de produits en argile et produits réfractaires,60,
2015,Yukon,Fabrication de verre et de produits en verre,60,
2015,Yukon,Fabrication de ciment et de produits en béton,60,
2015,Yukon,Fabrication de chaux et de produits en gypse,60,
2015,Yukon,Fabrication d'autres produits minéraux non métalliques,60,
2015,Yukon,Première transformation des métaux,60,
2015,Yukon,Sidérurgie,60,
2015,Yukon,Fabrication de produits en acier à partir d'acier acheté,60,
2015,Yukon,Production et transformation d'alumine et d'aluminium,60,
2015,Yukon,Production et transformation de métaux non ferreux (sauf l'aluminium),60,
2015,Yukon,Fonderies,60,
2015,Yukon,Fabrication de produits métalliques,60,
2015,Yukon,Forgeage et estampage,60,
2015,Yukon,Fabrication de coutellerie et d'outils à main,60,
2015,Yukon,Fabrication de produits d'architecture et d'éléments de charpentes métalliques,60,
2015,Yukon,"Fabrication de chaudières, de réservoirs et de contenants d'expédition",60,
2015,Yukon,Fabrication d'articles de quincaillerie,60,
2015,Yukon,Fabrication de ressorts et de produits en fil métallique,60,
2015,Yukon,"Ateliers d'usinage, fabrication de produits tournés, de vis, d'écrous et de boulons",60,
2015,Yukon,"Revêtement, gravure, traitement thermique et par le froid, et activités analogues",60,
2015,Yukon,Fabrication d'autres produits métalliques,60,
2015,Yukon,Fabrication de machines,60,
2015,Yukon,"Fabrication de machines pour l'agriculture, la construction et l'extraction minière",60,
2015,Yukon,Fabrication de machines industrielles,60,
2015,Yukon,Fabrication de machines pour le commerce et les industries de services,60,
2015,Yukon,"Fabrication d'appareils de ventilation, de chauffage, de climatisation et de réfrigération commerciale",60,
2015,Yukon,Fabrication de machines-outils pour le travail du métal,60,
2015,Yukon,"Fabrication de moteurs, de turbines et de matériel de transmission de puissance",60,
2015,Yukon,Fabrication d'autres machines d'usage général,60,
2015,Yukon,Fabrication de produits informatiques et électroniques,60,
2015,Yukon,Fabrication de matériel informatique et périphérique,60,
2015,Yukon,Fabrication de matériel de communication,60,
2015,Yukon,Fabrication de matériel audio et vidéo,60,
2015,Yukon,Fabrication de semi-conducteurs et d'autres composants électroniques,60,
2015,Yukon,"Fabrication d'instruments de navigation, de mesure et de commande et d'instruments médicaux",60,
2015,Yukon,Fabrication et reproduction de supports magnétiques et optiques,60,
2015,Yukon,"Fabrication de matériel, d'appareils et de composants électriques",60,
2015,Yukon,Fabrication de matériel électrique d'éclairage,60,
2015,Yukon,Fabrication d'appareils ménagers,60,
2015,Yukon,Fabrication de matériel électrique,60,
2015,Yukon,Fabrication d'autres types de matériel et de composants électriques,60,
2015,Yukon,,60,
2015,Yukon,Fabrication de véhicules automobiles,60,
2015,Yukon,Fabrication de carrosseries et de remorques de véhicules automobiles,60,
2015,Yukon,Fabrication de pièces pour véhicules automobiles,60,
2015,Yukon,Fabrication de produits aérospatiaux et de leurs pièces,60,
2015,Yukon,Fabrication de matériel ferroviaire roulant,60,
2015,Yukon,Construction de navires et d'embarcations,60,
2015,Yukon,Fabrication d'autres types de matériel de transport,60,
2015,Yukon,Fabrication de meubles et de produits connexes,60,
2015,Yukon,Fabrication de meubles de maison et d'établissement institutionnel et d'armoires de cuisine,60,
2015,Yukon,Fabrication de meubles de bureau (y compris les articles d'ameublement),60,
2015,Yukon,Fabrication d'autres produits connexes aux meubles,60,
2015,Yukon,Activités diverses de fabrication,60,
2015,Yukon,Fabrication de fournitures et de matériel médicaux,60,
2015,Yukon,Autres activités diverses de fabrication,60,
2015,Territoires du Nord-Ouest,Total de l’industrie manufacturière,61,
2015,Territoires du Nord-Ouest,Biens non durables,61,
2015,Territoires du Nord-Ouest,Fabrication d’aliments,61,
2015,Territoires du Nord-Ouest,Fabrication d'aliments pour animaux,61,
2015,Territoires du Nord-Ouest,Mouture de grains céréaliers et de graines oléagineuses,61,
2015,Territoires du Nord-Ouest,Fabrication de sucre et de confiseries,61,
2015,Territoires du Nord-Ouest,Mise en conserve de fruits et de légumes et fabrication de spécialités alimentaires,61,
2015,Territoires du Nord-Ouest,Fabrication de produits laitiers,61,
2015,Territoires du Nord-Ouest,Fabrication de produits de viande,61,
2015,Territoires du Nord-Ouest,Préparation et conditionnement de poissons et de fruits de mer,61,
2015,Territoires du Nord-Ouest,Boulangeries et fabrication de tortillas,61,
2015,Territoires du Nord-Ouest,Fabrication d'autres aliments,61,
2015,Territoires du Nord-Ouest,Fabrication de boissons et de produits du tabac,61,
2015,Territoires du Nord-Ouest,Fabrication de boissons,61,
2015,Territoires du Nord-Ouest,Fabrication du tabac,61,
2015,Territoires du Nord-Ouest,Fabrication de produits du cannabis,61,
2015,Territoires du Nord-Ouest,Usines de textiles,61,
2015,Territoires du Nord-Ouest,"Usines de fibres, de filés et de fils",61,
2015,Territoires du Nord-Ouest,Usines de tissus,61,
2015,Territoires du Nord-Ouest,Finissage de textiles et de tissus et revêtement de tissus,61,
2015,Territoires du Nord-Ouest,Usines de produits textiles,61,
2015,Territoires du Nord-Ouest,Usines de textiles domestiques,61,
2015,Territoires du Nord-Ouest,Usines d'autres produits textiles,61,
2015,Territoires du Nord-Ouest,Apparel manufacturing,61,
2015,Territoires du Nord-Ouest,Apparel knitting mills,61,
2015,Territoires du Nord-Ouest,Fabrication de vêtements coupés-cousus,61,
2015,Territoires du Nord-Ouest,Fabrication d'accessoires vestimentaires et d'autres vêtements,61,
2015,Territoires du Nord-Ouest,Fabrication de produits en cuir et de produits analogues,61,
2015,Territoires du Nord-Ouest,Tannage et finissage du cuir et des peaux,61,
2015,Territoires du Nord-Ouest,Fabrication de chaussures,61,
2015,Territoires du Nord-Ouest,Fabrication d'autres produits en cuir et produits analogues,61,
2015,Territoires du Nord-Ouest,Fabrication du papier,61,
2015,Territoires du Nord-Ouest,"Usines de pâte à papier, de papier et de carton",61,
2015,Territoires du Nord-Ouest,Fabrication de produits en papier transformé,61,
2015,Territoires du Nord-Ouest,Impression et activités connexes de soutien,61,
2015,Territoires du Nord-Ouest,Fabrication de produits du pétrole et du charbon,61,
2015,Territoires du Nord-Ouest,Fabrication de produits chimiques,61,
2015,Territoires du Nord-Ouest,Fabrication de produits chimiques de base,61,
2015,Territoires du Nord-Ouest,"Fabrication de résines, de caoutchouc synthétique et de fibres et de filaments artificiels et synthétiques",61,
2015,Territoires du Nord-Ouest,"Fabrication de pesticides, d'engrais et d'autres produits chimiques agricoles",61,
2015,Territoires du Nord-Ouest,Fabrication de produits pharmaceutiques et de médicaments,61,
2015,Territoires du Nord-Ouest,"Fabrication de peintures, de revêtements et d'adhésifs",61,
2015,Territoires du Nord-Ouest,"Fabrication de savons, de détachants et de produits de toilette",61,
2015,Territoires du Nord-Ouest,Fabrication d'autres produits chimiques,61,
2015,Territoires du Nord-Ouest,Fabrication de produits en plastique et en caoutchouc,61,
2015,Territoires du Nord-Ouest,Fabrication de produits en plastique,61,
2015,Territoires du Nord-Ouest,Fabrication de produits en caoutchouc,61,
2015,Territoires du Nord-Ouest,Biens durables,61,
2015,Territoires du Nord-Ouest,Fabrication de produits en bois,61,
2015,Territoires du Nord-Ouest,Scieries et préservation du bois,61,
2015,Territoires du Nord-Ouest,"Fabrication de placages, de contreplaqués et de produits en bois reconstitué",61,
2015,Territoires du Nord-Ouest,Fabrication d'autres produits en bois,61,
2015,Territoires du Nord-Ouest,Fabrication de produits minéraux non métalliques,61,
2015,Territoires du Nord-Ouest,Fabrication de produits en argile et produits réfractaires,61,
2015,Territoires du Nord-Ouest,Fabrication de verre et de produits en verre,61,
2015,Territoires du Nord-Ouest,Fabrication de ciment et de produits en béton,61,
2015,Territoires du Nord-Ouest,Fabrication de chaux et de produits en gypse,61,
2015,Territoires du Nord-Ouest,Fabrication d'autres produits minéraux non métalliques,61,
2015,Territoires du Nord-Ouest,Première transformation des métaux,61,
2015,Territoires du Nord-Ouest,Sidérurgie,61,
2015,Territoires du Nord-Ouest,Fabrication de produits en acier à partir d'acier acheté,61,
2015,Territoires du Nord-Ouest,Production et transformation d'alumine et d'aluminium,61,
2015,Territoires du Nord-Ouest,Production et transformation de métaux non ferreux (sauf l'aluminium),61,
2015,Territoires du Nord-Ouest,Fonderies,61,
2015,Territoires du Nord-Ouest,Fabrication de produits métalliques,61,
2015,Territoires du Nord-Ouest,Forgeage et estampage,61,
2015,Territoires du Nord-Ouest,Fabrication de coutellerie et d'outils à main,61,
2015,Territoires du Nord-Ouest,Fabrication de produits d'architecture et d'éléments de charpentes métalliques,61,
2015,Territoires du Nord-Ouest,"Fabrication de chaudières, de réservoirs et de contenants d'expédition",61,
2015,Territoires du Nord-Ouest,Fabrication d'articles de quincaillerie,61,
2015,Territoires du Nord-Ouest,Fabrication de ressorts et de produits en fil métallique,61,
2015,Territoires du Nord-Ouest,"Ateliers d'usinage, fabrication de produits tournés, de vis, d'écrous et de boulons",61,
2015,Territoires du Nord-Ouest,"Revêtement, gravure, traitement thermique et par le froid, et activités analogues",61,
2015,Territoires du Nord-Ouest,Fabrication d'autres produits métalliques,61,
2015,Territoires du Nord-Ouest,Fabrication de machines,61,
2015,Territoires du Nord-Ouest,"Fabrication de machines pour l'agriculture, la construction et l'extraction minière",61,
2015,Territoires du Nord-Ouest,Fabrication de machines industrielles,61,
2015,Territoires du Nord-Ouest,Fabrication de machines pour le commerce et les industries de services,61,
2015,Territoires du Nord-Ouest,"Fabrication d'appareils de ventilation, de chauffage, de climatisation et de réfrigération commerciale",61,
2015,Territoires du Nord-Ouest,Fabrication de machines-outils pour le travail du métal,61,
2015,Territoires du Nord-Ouest,"Fabrication de moteurs, de turbines et de matériel de transmission de puissance",61,
2015,Territoires du Nord-Ouest,Fabrication d'autres machines d'usage général,61,
2015,Territoires du Nord-Ouest,Fabrication de produits informatiques et électroniques,61,
2015,Territoires du Nord-Ouest,Fabrication de matériel informatique et périphérique,61,
2015,Territoires du Nord-Ouest,Fabrication de matériel de communication,61,
2015,Territoires du Nord-Ouest,Fabrication de matériel audio et vidéo,61,
2015,Territoires du Nord-Ouest,Fabrication de semi-conducteurs et d'autres composants électroniques,61,
2015,Territoires du Nord-Ouest,"Fabrication d'instruments de navigation, de mesure et de commande et d'instruments médicaux",61,
2015,Territoires du Nord-Ouest,Fabrication et reproduction de supports magnétiques et optiques,61,
2015,Territoires du Nord-Ouest,"Fabrication de matériel, d'appareils et de composants électriques",61,
2015,Territoires du Nord-Ouest,Fabrication de matériel électrique d'éclairage,61,
2015,Territoires du Nord-Ouest,Fabrication d'appareils ménagers,61,
2015,Territoires du Nord-Ouest,Fabrication de matériel électrique,61,
2015,Territoires du Nord-Ouest,Fabrication d'autres types de matériel et de composants électriques,61,
2015,Territoires du Nord-Ouest,,61,
2015,Territoires du Nord-Ouest,Fabrication de véhicules automobiles,61,
2015,Territoires du Nord-Ouest,Fabrication de carrosseries et de remorques de véhicules automobiles,61,
2015,Territoires du Nord-Ouest,Fabrication de pièces pour véhicules automobiles,61,
2015,Territoires du Nord-Ouest,Fabrication de produits aérospatiaux et de leurs pièces,61,
2015,Territoires du Nord-Ouest,Fabrication de matériel ferroviaire roulant,61,
2015,Territoires du Nord-Ouest,Construction de navires et d'embarcations,61,
2015,Territoires du Nord-Ouest,Fabrication d'autres types de matériel de transport,61,
2015,Territoires du Nord-Ouest,Fabrication de meubles et de produits connexes,61,
2015,Territoires du Nord-Ouest,Fabrication de meubles de maison et d'établissement institutionnel et d'armoires de cuisine,61,
2015,Territoires du Nord-Ouest,Fabrication de meubles de bureau (y compris les articles d'ameublement),61,
2015,Territoires du Nord-Ouest,Fabrication d'autres produits connexes aux meubles,61,
2015,Territoires du Nord-Ouest,Activités diverses de fabrication,61,
2015,Territoires du Nord-Ouest,Fabrication de fournitures et de matériel médicaux,61,
2015,Territoires du Nord-Ouest,Autres activités diverses de fabrication,61,
2015,Nunavut,Total de l’industrie manufacturière,62,
2015,Nunavut,Biens non durables,62,
2015,Nunavut,Fabrication d’aliments,62,
2015,Nunavut,Fabrication d'aliments pour animaux,62,
2015,Nunavut,Mouture de grains céréaliers et de graines oléagineuses,62,
2015,Nunavut,Fabrication de sucre et de confiseries,62,
2015,Nunavut,Mise en conserve de fruits et de légumes et fabrication de spécialités alimentaires,62,
2015,Nunavut,Fabrication de produits laitiers,62,
2015,Nunavut,Fabrication de produits de viande,62,
2015,Nunavut,Préparation et conditionnement de poissons et de fruits de mer,62,
2015,Nunavut,Boulangeries et fabrication de tortillas,62,
2015,Nunavut,Fabrication d'autres aliments,62,
2015,Nunavut,Fabrication de boissons et de produits du tabac,62,
2015,Nunavut,Fabrication de boissons,62,
2015,Nunavut,Fabrication du tabac,62,
2015,Nunavut,Fabrication de produits du cannabis,62,
2015,Nunavut,Usines de textiles,62,
2015,Nunavut,"Usines de fibres, de filés et de fils",62,
2015,Nunavut,Usines de tissus,62,
2015,Nunavut,Finissage de textiles et de tissus et revêtement de tissus,62,
2015,Nunavut,Usines de produits textiles,62,
2015,Nunavut,Usines de textiles domestiques,62,
2015,Nunavut,Usines d'autres produits textiles,62,
2015,Nunavut,Apparel manufacturing,62,
2015,Nunavut,Apparel knitting mills,62,
2015,Nunavut,Fabrication de vêtements coupés-cousus,62,
2015,Nunavut,Fabrication d'accessoires vestimentaires et d'autres vêtements,62,
2015,Nunavut,Fabrication de produits en cuir et de produits analogues,62,
2015,Nunavut,Tannage et finissage du cuir et des peaux,62,
2015,Nunavut,Fabrication de chaussures,62,
2015,Nunavut,Fabrication d'autres produits en cuir et produits analogues,62,
2015,Nunavut,Fabrication du papier,62,
2015,Nunavut,"Usines de pâte à papier, de papier et de carton",62,
2015,Nunavut,Fabrication de produits en papier transformé,62,
2015,Nunavut,Impression et activités connexes de soutien,62,
2015,Nunavut,Fabrication de produits du pétrole et du charbon,62,
2015,Nunavut,Fabrication de produits chimiques,62,
2015,Nunavut,Fabrication de produits chimiques de base,62,
2015,Nunavut,"Fabrication de résines, de caoutchouc synthétique et de fibres et de filaments artificiels et synthétiques",62,
2015,Nunavut,"Fabrication de pesticides, d'engrais et d'autres produits chimiques agricoles",62,
2015,Nunavut,Fabrication de produits pharmaceutiques et de médicaments,62,
2015,Nunavut,"Fabrication de peintures, de revêtements et d'adhésifs",62,
2015,Nunavut,"Fabrication de savons, de détachants et de produits de toilette",62,
2015,Nunavut,Fabrication d'autres produits chimiques,62,
2015,Nunavut,Fabrication de produits en plastique et en caoutchouc,62,
2015,Nunavut,Fabrication de produits en plastique,62,
2015,Nunavut,Fabrication de produits en caoutchouc,62,
2015,Nunavut,Biens durables,62,
2015,Nunavut,Fabrication de produits en bois,62,
2015,Nunavut,Scieries et préservation du bois,62,
2015,Nunavut,"Fabrication de placages, de contreplaqués et de produits en bois reconstitué",62,
2015,Nunavut,Fabrication d'autres produits en bois,62,
2015,Nunavut,Fabrication de produits minéraux non métalliques,62,
2015,Nunavut,Fabrication de produits en argile et produits réfractaires,62,
2015,Nunavut,Fabrication de verre et de produits en verre,62,
2015,Nunavut,Fabrication de ciment et de produits en béton,62,
2015,Nunavut,Fabrication de chaux et de produits en gypse,62,
2015,Nunavut,Fabrication d'autres produits minéraux non métalliques,62,
2015,Nunavut,Première transformation des métaux,62,
2015,Nunavut,Sidérurgie,62,
2015,Nunavut,Fabrication de produits en acier à partir d'acier acheté,62,
2015,Nunavut,Production et transformation d'alumine et d'aluminium,62,
2015,Nunavut,Production et transformation de métaux non ferreux (sauf l'aluminium),62,
2015,Nunavut,Fonderies,62,
2015,Nunavut,Fabrication de produits métalliques,62,
2015,Nunavut,Forgeage et estampage,62,
2015,Nunavut,Fabrication de coutellerie et d'outils à main,62,
2015,Nunavut,Fabrication de produits d'architecture et d'éléments de charpentes métalliques,62,
2015,Nunavut,"Fabrication de chaudières, de réservoirs et de contenants d'expédition",62,
2015,Nunavut,Fabrication d'articles de quincaillerie,62,
2015,Nunavut,Fabrication de ressorts et de produits en fil métallique,62,
2015,Nunavut,"Ateliers d'usinage, fabrication de produits tournés, de vis, d'écrous et de boulons",62,
2015,Nunavut,"Revêtement, gravure, traitement thermique et par le froid, et activités analogues",62,
2015,Nunavut,Fabrication d'autres produits métalliques,62,
2015,Nunavut,Fabrication de machines,62,
2015,Nunavut,"Fabrication de machines pour l'agriculture, la construction et l'extraction minière",62,
2015,Nunavut,Fabrication de machines industrielles,62,
2015,Nunavut,Fabrication de machines pour le commerce et les industries de services,62,
2015,Nunavut,"Fabrication d'appareils de ventilation, de chauffage, de climatisation et de réfrigération commerciale",62,
2015,Nunavut,Fabrication de machines-outils pour le travail du métal,62,
2015,Nunavut,"Fabrication de moteurs, de turbines et de matériel de transmission de puissance",62,
2015,Nunavut,Fabrication d'autres machines d'usage général,62,
2015,Nunavut,Fabrication de produits informatiques et électroniques,62,
2015,Nunavut,Fabrication de matériel informatique et périphérique,62,
2015,Nunavut,Fabrication de matériel de communication,62,
2015,Nunavut,Fabrication de matériel audio et vidéo,62,
2015,Nunavut,Fabrication de semi-conducteurs et d'autres composants électroniques,62,
2015,Nunavut,"Fabrication d'instruments de navigation, de mesure et de commande et d'instruments médicaux",62,
2015,Nunavut,Fabrication et reproduction de supports magnétiques et optiques,62,
2015,Nunavut,"Fabrication de matériel, d'appareils et de composants électriques",62,
2015,Nunavut,Fabrication de matériel électrique d'éclairage,62,
2015,Nunavut,Fabrication d'appareils ménagers,62,
2015,Nunavut,Fabrication de matériel électrique,62,
2015,Nunavut,Fabrication d'autres types de matériel et de composants électriques,62,
2015,Nunavut,,62,
2015,Nunavut,Fabrication de véhicules automobiles,62,
2015,Nunavut,Fabrication de carrosseries et de remorques de véhicules automobiles,62,
2015,Nunavut,Fabrication de pièces pour véhicules automobiles,62,
2015,Nunavut,Fabrication de produits aérospatiaux et de leurs pièces,62,
2015,Nunavut,Fabrication de matériel ferroviaire roulant,62,
2015,Nunavut,Construction de navires et d'embarcations,62,
2015,Nunavut,Fabrication d'autres types de matériel de transport,62,
2015,Nunavut,Fabrication de meubles et de produits connexes,62,
2015,Nunavut,Fabrication de meubles de maison et d'établissement institutionnel et d'armoires de cuisine,62,
2015,Nunavut,Fabrication de meubles de bureau (y compris les articles d'ameublement),62,
2015,Nunavut,Fabrication d'autres produits connexes aux meubles,62,
2015,Nunavut,Activités diverses de fabrication,62,
2015,Nunavut,Fabrication de fournitures et de matériel médicaux,62,
2015,Nunavut,Autres activités diverses de fabrication,62,
2016,Canada,Biens non durables,,3.79
2016,Canada,Fabrication d’aliments,,1.37
2016,Canada,Fabrication d'aliments pour animaux,,0.06
2016,Canada,Mouture de grains céréaliers et de graines oléagineuses,,0.04
2016,Canada,Fabrication de sucre et de confiseries,,0.06
2016,Canada,Mise en conserve de fruits et de légumes et fabrication de spécialités alimentaires,,0.11
2016,Canada,Fabrication de produits laitiers,,0.14
2016,Canada,Fabrication de produits de viande,,0.35
2016,Canada,Préparation et conditionnement de poissons et de fruits de mer,,0.14
2016,Canada,Boulangeries et fabrication de tortillas,,0.28
2016,Canada,Fabrication d'autres aliments,,0.17
