Year,Géographie,Sources des déchets à des fins d'élimination,GeoCode,Value
2020,Québec,Toutes les sources de déchets à des fins d'élimination,24,5756149.0
2020,Québec,Sources de déchets non résidentielles à des fins d'élimination,,3417649.0
2020,Québec,Sources de déchets résidentielles à des fins d'élimination,,2338499.0
2020,Ontario,Toutes les sources de déchets à des fins d'élimination,35,10300560.0
2020,Ontario,Sources de déchets non résidentielles à des fins d'élimination,,3814211.0
2020,Ontario,Sources de déchets résidentielles à des fins d'élimination,,6486350.0
2020,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,934437.0
2020,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,,325486.0
2020,Manitoba,Sources de déchets résidentielles à des fins d'élimination,,608951.0
2020,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,852445.0
2020,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,,406635.0
2020,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,,445810.0
2020,Alberta,Toutes les sources de déchets à des fins d'élimination,48,4044817.0
2020,Alberta,Sources de déchets non résidentielles à des fins d'élimination,,1238331.0
2020,Alberta,Sources de déchets résidentielles à des fins d'élimination,,2806486.0
2020,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,2803431.0
2020,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,,1068244.0
2020,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,,1735187.0
2020,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,96294.0
2020,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,37409.0
2020,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,58886.0
